instance_name,timeout,num_chunks,gate_out,depth_out,num_swaps,seed,seed_is
miller_11,10,1,59,37,9,2,0
miller_11,10,1,61,37,11,3,0
miller_11,10,1,61,37,11,4,0
miller_11,10,1,59,37,9,5,0
miller_11,10,1,61,37,11,1,0
miller_11,10,1,60,37,10,10,0
miller_11,10,1,61,37,11,6,0
miller_11,10,1,61,37,11,7,0
miller_11,10,1,60,37,10,8,0
miller_11,10,1,60,37,10,9,0
miller_11,10,1,60,37,10,11,0
miller_11,10,1,61,37,11,12,0
miller_11,10,1,59,37,9,13,0
miller_11,10,1,59,37,9,14,0
miller_11,10,1,61,37,11,15,0
4gt13_91,10,1,122,66,19,2,0
4gt13_91,10,1,122,66,19,1,0
4gt13_91,10,1,122,66,19,3,0
4gt13_91,10,1,122,66,19,5,0
4gt13_91,10,1,122,66,19,6,0
4gt13_91,10,1,125,67,22,4,0
4gt13_91,10,1,122,66,19,12,0
4gt13_91,10,1,125,67,22,11,0
4gt13_91,10,1,122,66,19,14,0
4gt13_91,10,1,122,66,19,7,0
4gt13_91,10,1,122,66,19,8,0
4gt13_91,10,1,122,66,19,9,0
4gt13_91,10,1,122,66,19,10,0
4gt13_91,10,1,122,66,19,15,0
4gt13_91,10,1,122,66,19,13,0
4gt13_91,10,2,122,66,19,2,0
4gt13_91,10,2,122,66,19,1,0
4gt13_91,10,2,122,66,19,3,0
4gt13_91,10,2,122,66,19,4,0
4gt13_91,10,2,122,66,19,5,0
4gt13_91,10,2,122,66,19,6,0
4gt13_91,10,2,122,66,19,7,0
4gt13_91,10,2,122,66,19,10,0
4gt13_91,10,2,122,66,19,12,0
4gt13_91,10,2,122,66,19,8,0
4gt13_91,10,2,122,66,19,9,0
4gt13_91,10,2,122,66,19,11,0
4gt13_91,10,2,122,66,19,13,0
4gt13_91,10,2,122,66,19,14,0
4gt13_91,10,2,122,66,19,15,0
0410184_169,10,1,246,114,35,6,0
0410184_169,10,1,247,115,36,2,0
0410184_169,10,1,263,113,52,1,0
0410184_169,10,1,245,112,34,3,0
0410184_169,10,1,250,114,39,4,0
0410184_169,10,1,271,113,60,5,0
0410184_169,10,1,245,114,34,10,0
0410184_169,10,1,267,115,56,12,0
0410184_169,10,1,247,113,36,14,0
0410184_169,10,1,261,113,50,7,0
0410184_169,10,1,266,113,55,8,0
0410184_169,10,1,266,114,55,9,0
0410184_169,10,1,268,114,57,11,0
0410184_169,10,1,255,115,44,13,0
0410184_169,10,1,255,114,44,15,0
0410184_169,10,2,271,113,60,1,0
0410184_169,10,2,265,111,54,2,0
0410184_169,10,2,272,112,61,3,0
0410184_169,10,2,248,113,37,8,0
0410184_169,10,2,272,112,61,10,0
0410184_169,10,2,258,114,47,9,0
0410184_169,10,2,267,113,56,4,0
0410184_169,10,2,276,114,65,6,0
0410184_169,10,2,273,114,62,5,0
0410184_169,10,2,256,114,45,12,0
0410184_169,10,2,262,112,51,7,0
0410184_169,10,2,249,113,38,14,0
0410184_169,10,2,273,112,62,11,0
0410184_169,10,2,272,112,61,13,0
0410184_169,10,2,271,112,60,15,0
ex3_229,10,1,441,240,38,1,0
ex3_229,10,1,459,242,56,3,0
ex3_229,10,1,437,240,34,2,0
ex3_229,10,1,439,238,36,6,0
ex3_229,10,1,443,240,40,4,0
ex3_229,10,1,450,240,47,5,0
ex3_229,10,1,435,240,32,12,0
ex3_229,10,1,454,237,51,7,0
ex3_229,10,1,449,241,46,8,0
ex3_229,10,1,441,238,38,9,0
ex3_229,10,1,443,240,40,10,0
ex3_229,10,1,438,240,35,11,0
ex3_229,10,1,463,243,60,13,0
ex3_229,10,1,451,240,48,14,0
ex3_229,10,1,442,242,39,15,0
ex3_229,10,2,453,238,50,2,0
ex3_229,10,2,451,237,48,4,0
ex3_229,10,2,455,237,52,5,0
ex3_229,10,2,458,237,55,6,0
ex3_229,10,2,458,236,55,7,0
ex3_229,10,2,455,238,52,10,0
ex3_229,10,2,454,237,51,1,0
ex3_229,10,2,451,237,48,12,0
ex3_229,10,2,454,240,51,13,0
ex3_229,10,2,453,237,50,3,0
ex3_229,10,2,457,239,54,14,0
ex3_229,10,2,451,238,48,8,0
ex3_229,10,2,458,237,55,9,0
ex3_229,10,2,453,237,50,11,0
ex3_229,10,2,453,238,50,15,0
sf_276,10,8,880,456,102,3,0
sf_276,10,8,880,461,102,2,0
sf_276,10,8,905,466,127,1,0
sf_276,10,8,893,462,115,5,0
sf_276,10,8,890,462,112,7,0
sf_276,10,8,888,460,110,11,0
sf_276,10,8,875,460,97,4,0
sf_276,10,8,888,461,110,6,0
sf_276,10,8,888,459,110,8,0
sf_276,10,8,875,457,97,9,0
sf_276,10,8,889,462,111,10,0
