instance_name,timeout,num_chunks,gate_out,depth_out,num_swaps,seed,seed_is
miller_11,10,1,59,38,9,5,0
miller_11,10,1,59,38,9,9,0
miller_11,10,1,59,39,9,1,0
miller_11,10,1,59,39,9,2,0
miller_11,10,1,59,37,9,3,0
miller_11,10,1,59,38,9,4,0
miller_11,10,1,59,37,9,6,0
miller_11,10,1,59,38,9,7,0
miller_11,10,1,59,38,9,8,0
miller_11,10,1,59,38,9,10,0
miller_11,10,1,59,40,9,11,0
miller_11,10,1,59,40,9,12,0
miller_11,10,1,59,40,9,13,0
miller_11,10,1,59,39,9,14,0
miller_11,10,1,59,39,9,15,0
4gt13_91,10,1,116,72,13,2,0
4gt13_91,10,1,116,72,13,4,0
4gt13_91,10,1,116,71,13,6,0
4gt13_91,10,1,116,71,13,1,0
4gt13_91,10,1,116,71,13,3,0
4gt13_91,10,1,116,71,13,5,0
4gt13_91,10,1,116,70,13,7,0
4gt13_91,10,1,116,72,13,8,0
4gt13_91,10,1,116,71,13,9,0
4gt13_91,10,1,116,71,13,10,0
4gt13_91,10,1,116,71,13,11,0
4gt13_91,10,1,116,71,13,12,0
4gt13_91,10,1,116,71,13,13,0
4gt13_91,10,1,116,71,13,14,0
4gt13_91,10,1,116,71,13,15,0
0410184_169,10,1,245,142,34,7,0
0410184_169,10,1,248,133,37,2,0
0410184_169,10,1,244,139,33,4,0
0410184_169,10,1,246,131,35,6,0
0410184_169,10,1,246,136,35,1,0
0410184_169,10,1,245,132,34,5,0
0410184_169,10,1,246,133,35,3,0
0410184_169,10,1,246,133,35,15,0
0410184_169,10,1,249,138,38,13,0
0410184_169,10,1,245,127,34,8,0
0410184_169,10,1,246,137,35,12,0
0410184_169,10,1,242,123,31,11,0
0410184_169,10,1,245,136,34,10,0
0410184_169,10,1,247,135,36,14,0
0410184_169,10,1,246,139,35,9,0
0410184_169,10,2,237,121,26,4,0
0410184_169,10,2,241,134,30,5,0
0410184_169,10,2,242,130,31,11,0
0410184_169,10,2,244,134,33,10,0
0410184_169,10,2,244,133,33,1,0
0410184_169,10,2,244,132,33,12,0
0410184_169,10,2,242,130,31,2,0
0410184_169,10,2,243,135,32,3,0
0410184_169,10,2,247,136,36,14,0
0410184_169,10,2,241,125,30,15,0
0410184_169,10,2,247,134,36,6,0
