,instance_name,swaps,indice,Unnamed: 0,sabre_depth,sabre_swaps,size
0,graycode6_47,3,0,74,5,3,5
1,ex1_226,5,1,70,7,5,7
2,xor5_254,5,2,158,7,5,7
3,4gt11_84,4,3,6,15,4,18
4,ex-1_166,3,4,69,16,3,19
5,4mod5-v0_20,4,5,27,13,4,20
6,ham3_102,4,6,77,18,4,20
7,4mod5-v1_22,5,7,28,15,5,21
8,mod5d1_63,6,8,100,16,6,22
9,4gt11_83,5,9,5,16,5,23
10,4gt11_82,7,10,4,22,7,27
11,rd32-v0_66,8,11,118,29,8,34
12,4mod5-v0_19,5,12,26,24,5,35
13,mod5mils_65,6,13,102,24,6,35
14,3_17_13,7,14,1,32,7,36
15,4mod5-v1_24,7,15,30,23,8,36
16,alu-v0_27,8,16,39,29,9,36
17,rd32-v1_68,8,17,119,30,8,36
18,alu-v1_28,7,18,40,26,7,37
19,alu-v1_29,7,19,41,29,8,37
20,alu-v2_33,9,20,45,29,9,37
21,alu-v3_35,6,21,47,23,6,37
22,alu-v4_37,8,22,49,30,9,37
23,miller_11,9,23,92,43,9,50
24,decod24-v0_38,11,24,64,43,11,51
25,alu-v3_34,7,25,46,33,7,52
26,decod24-v2_43,11,26,66,45,11,52
27,mod5d2_64,11,27,101,38,11,53
28,4gt13_92,11,28,14,47,12,66
29,4gt13-v1_93,11,29,11,47,11,68
30,4mod5-v0_18,12,30,25,48,12,69
31,4mod5-v1_23,12,31,29,48,12,69
32,one-two-three-v2_100,9,32,108,49,13,69
33,4mod5-bdd_287,8,33,24,46,8,70
34,one-two-three-v3_101,11,34,109,47,11,70
35,qe_qft_4,5,35,113,39,5,71
36,decod24-bdd_294,10,36,62,50,10,73
37,4gt5_75,11,37,21,56,11,83
38,alu-bdd_288,10,38,37,53,10,84
39,alu-v0_26,14,39,38,64,14,84
40,rd32_270,14,40,120,60,14,84
41,decod24-v1_41,12,41,65,59,12,85
42,4gt5_76,12,42,22,68,15,91
43,4gt13_91,13,43,13,69,13,103
44,4gt13_90,16,44,12,77,16,107
45,qe_qft_5,2,45,114,53,2,107
46,alu-v4_36,14,46,48,80,14,115
47,4gt5_77,14,47,23,85,16,131
48,one-two-three-v1_99,20,48,107,97,22,132
49,rd53_138,11,49,125,66,15,132
50,one-two-three-v0_98,19,50,106,97,19,146
51,4gt10-v1_81,20,51,3,104,23,148
52,decod24-v3_45,17,52,67,103,20,150
53,aj-e11_165,21,53,36,109,23,151
