instance_name,timeout,num_chunks,gate_out,depth_out,num_swaps,seed
urf3_279,60,200,148379,90262,23017,10
urf3_279,60,200,149998,90842,24636,2
urf3_279,60,200,150149,91293,24787,6
urf3_279,60,200,148320,90228,22958,4
urf3_279,60,200,149905,90965,24543,1
urf3_279,60,200,150421,91029,25059,8
urf3_279,60,200,148678,90371,23316,9
urf3_279,60,200,148477,90231,23115,3
urf3_279,60,200,148563,90487,23201,5
urf3_279,60,200,150093,91109,24731,7
plus63mod4096_163,60,200,150208,90267,21464,8
plus63mod4096_163,60,200,151015,91100,22271,2
plus63mod4096_163,60,200,150503,90338,21759,6
plus63mod4096_163,60,200,150519,90627,21775,1
plus63mod4096_163,60,200,150274,90318,21530,9
plus63mod4096_163,60,200,150634,90518,21890,5
plus63mod4096_163,60,200,150870,90851,22126,7
plus63mod4096_163,60,200,150898,91037,22154,3
plus63mod4096_163,60,200,150948,90896,22204,10
plus63mod4096_163,60,200,150924,90738,22180,4
urf5_158,60,200,191047,112577,26631,3
urf5_158,60,200,190423,112193,26007,7
urf5_158,60,200,190250,112056,25834,8
urf5_158,60,200,190691,111588,26275,2
urf5_158,60,200,190877,111757,26461,5
urf5_158,60,200,191147,112591,26731,4
urf5_158,60,200,191242,112750,26826,9
urf5_158,60,200,190580,112240,26164,10
urf5_158,60,200,190365,111778,25949,6
urf5_158,60,200,190475,111887,26059,1
urf6_160,60,200,204512,121156,32672,1
urf6_160,60,200,204450,120676,32610,4
urf6_160,60,200,204551,121373,32711,3
urf6_160,60,200,204724,121323,32884,5
urf6_160,60,200,203782,120762,31942,6
urf6_160,60,200,204861,121623,33021,10
urf6_160,60,200,205383,121899,33543,9
urf6_160,60,200,203287,120729,31447,2
urf6_160,60,200,204802,121490,32962,8
urf6_160,60,200,205228,121141,33388,7
urf1_149,60,200,215844,126387,30980,8
urf1_149,60,200,215380,126135,30516,10
urf1_149,60,200,220805,130694,35941,6
urf1_149,60,200,215748,126749,30884,7
urf1_149,60,200,215199,125883,30335,3
urf1_149,60,200,215713,126931,30849,5
urf1_149,60,200,215586,126223,30722,2
urf1_149,60,200,215706,126827,30842,9
urf1_149,60,200,216051,127101,31187,4
urf1_149,60,200,215527,126614,30663,1
plus63mod8192_164,60,200,221592,133745,34480,6
plus63mod8192_164,60,200,220385,132903,33273,2
plus63mod8192_164,60,200,220895,133226,33783,1
plus63mod8192_164,60,200,222082,133763,34970,10
plus63mod8192_164,60,200,221434,133516,34322,7
plus63mod8192_164,60,200,221536,133703,34424,9
plus63mod8192_164,60,200,220956,133022,33844,4
plus63mod8192_164,60,200,220917,133227,33805,3
plus63mod8192_164,60,200,221585,133538,34473,8
plus63mod8192_164,60,200,221999,134067,34887,5
hwb9_119,60,200,243509,146709,35734,8
hwb9_119,60,200,246546,148778,38771,9
hwb9_119,60,200,243964,147509,36189,10
hwb9_119,60,200,247142,149315,39367,6
hwb9_119,60,200,243941,147426,36166,3
hwb9_119,60,200,246983,149197,39208,4
hwb9_119,60,200,246864,149069,39089,2
hwb9_119,60,200,244180,147682,36405,7
hwb9_119,60,200,247104,149250,39329,5
hwb9_119,60,200,247246,149338,39471,1
ground_state_estimation_10,60,200,396280,249406,6100,9
ground_state_estimation_10,60,200,395565,249109,5385,7
ground_state_estimation_10,60,200,396303,249598,6123,1
ground_state_estimation_10,60,200,396107,249467,5927,5
ground_state_estimation_10,60,200,396007,249289,5827,3
ground_state_estimation_10,60,200,396397,249607,6217,4
ground_state_estimation_10,60,200,396220,249595,6040,6
ground_state_estimation_10,60,200,396420,249637,6240,10
ground_state_estimation_10,60,200,396491,249636,6311,2
ground_state_estimation_10,60,200,396684,249744,6504,8
urf3_155,60,200,506054,302598,82566,1
urf3_155,60,200,508449,303425,84961,3
urf3_155,60,200,509336,304061,85848,5
urf3_155,60,200,505586,302697,82098,4
urf3_155,60,200,505591,302636,82103,6
urf3_155,60,200,509084,304205,85596,9
urf3_155,60,200,509177,304202,85689,2
urf3_155,60,200,505805,302322,82317,8
urf3_155,60,200,513227,308364,89739,10
urf3_155,60,200,509056,301999,85568,7
urf4_187,60,200,617279,355470,105215,3
urf4_187,60,200,626628,365739,114564,5
urf4_187,60,200,626706,365446,114642,9
urf4_187,60,200,626593,365735,114529,6
urf4_187,60,200,627215,366390,115151,1
urf4_187,60,200,626921,365941,114857,4
urf4_187,60,200,618042,359270,105978,10
urf4_187,60,200,617944,356298,105880,8
urf4_187,60,200,618205,357089,106141,2
urf4_187,60,200,626898,365881,114834,7
