instance_name,timeout,num_chunks,gate_out,depth_out,num_swaps,seed,method_is,objfun
ising_model_10,10,1,486,88,6,1,default,swaps
ising_model_10,10,1,486,88,6,2,default,swaps
ising_model_10,10,1,486,88,6,3,default,swaps
ising_model_10,10,1,486,88,6,4,default,swaps
ising_model_10,10,1,486,88,6,5,default,swaps
ising_model_10,10,1,486,89,6,6,default,swaps
ising_model_10,10,1,486,89,6,7,default,swaps
ising_model_10,10,1,486,88,6,8,default,swaps
ising_model_10,10,1,486,90,6,9,default,swaps
ising_model_10,10,1,486,90,6,10,default,swaps
ising_model_10,10,1,486,90,6,11,default,swaps
ising_model_10,10,1,486,90,6,12,default,swaps
ising_model_10,10,1,486,101,6,13,default,swaps
ising_model_10,10,1,486,88,6,14,default,swaps
ising_model_10,10,1,486,88,6,15,default,swaps
ising_model_10,10,2,488,127,8,1,default,swaps
ising_model_10,10,2,486,90,6,2,default,swaps
ising_model_10,10,2,488,127,8,3,default,swaps
ising_model_10,10,2,488,127,8,4,default,swaps
ising_model_10,10,2,488,127,8,5,default,swaps
ising_model_10,10,2,488,127,8,6,default,swaps
ising_model_10,10,2,488,127,8,7,default,swaps
ising_model_10,10,2,488,127,8,8,default,swaps
ising_model_10,10,2,486,90,6,9,default,swaps
ising_model_10,10,2,486,90,6,10,default,swaps
ising_model_10,10,2,488,127,8,11,default,swaps
ising_model_10,10,2,488,127,8,12,default,swaps
ising_model_10,10,2,488,127,8,13,default,swaps
ising_model_10,10,2,488,127,8,14,default,swaps
ising_model_10,10,2,488,127,8,15,default,swaps
ising_model_10,10,4,493,122,13,1,default,swaps
ising_model_10,10,4,490,116,10,2,default,swaps
ising_model_10,10,4,489,92,9,3,default,swaps
ising_model_10,10,4,493,105,13,4,default,swaps
ising_model_10,10,4,490,112,10,5,default,swaps
ising_model_10,10,4,497,127,17,6,default,swaps
ising_model_10,10,4,493,109,13,7,default,swaps
ising_model_10,10,4,495,115,15,8,default,swaps
ising_model_10,10,4,492,113,12,9,default,swaps
ising_model_10,10,4,495,121,15,10,default,swaps
ising_model_10,10,4,494,113,14,11,default,swaps
ising_model_10,10,4,494,116,14,12,default,swaps
ising_model_10,10,4,492,116,12,13,default,swaps
ising_model_10,10,4,492,114,12,14,default,swaps
ising_model_10,10,4,491,114,11,15,default,swaps
ising_model_10,10,5,497,127,17,1,default,swaps
ising_model_10,10,5,494,122,14,2,default,swaps
ising_model_10,10,5,494,119,14,3,default,swaps
ising_model_10,10,5,497,119,17,4,default,swaps
ising_model_10,10,5,496,103,16,5,default,swaps
ising_model_10,10,5,495,111,15,6,default,swaps
ising_model_10,10,5,502,138,22,7,default,swaps
ising_model_10,10,5,497,109,17,8,default,swaps
ising_model_10,10,5,494,114,14,9,default,swaps
ising_model_10,10,5,495,95,15,10,default,swaps
ising_model_10,10,5,494,120,14,11,default,swaps
ising_model_10,10,5,491,111,11,12,default,swaps
ising_model_10,10,5,498,107,18,13,default,swaps
ising_model_10,10,5,490,104,10,14,default,swaps
ising_model_10,10,5,498,104,18,15,default,swaps
ising_model_10,10,10,500,110,20,1,default,swaps
ising_model_10,10,10,501,97,21,2,default,swaps
ising_model_10,10,10,502,106,22,3,default,swaps
ising_model_10,10,10,497,96,17,4,default,swaps
ising_model_10,10,10,502,100,22,5,default,swaps
ising_model_10,10,10,501,118,21,6,default,swaps
ising_model_10,10,10,490,92,10,7,default,swaps
ising_model_10,10,10,501,109,21,8,default,swaps
ising_model_10,10,10,498,102,18,9,default,swaps
ising_model_10,10,10,500,117,20,10,default,swaps
ising_model_10,10,10,498,98,18,11,default,swaps
ising_model_10,10,10,498,104,18,12,default,swaps
ising_model_10,10,10,501,103,21,13,default,swaps
ising_model_10,10,10,501,104,21,14,default,swaps
ising_model_10,10,10,500,107,20,15,default,swaps
ising_model_10,10,20,487,77,7,1,default,swaps
ising_model_10,10,20,502,97,22,2,default,swaps
ising_model_10,10,20,507,104,27,3,default,swaps
ising_model_10,10,20,495,93,15,4,default,swaps
ising_model_10,10,20,502,99,22,5,default,swaps
ising_model_10,10,20,503,93,23,6,default,swaps
ising_model_10,10,20,503,98,23,7,default,swaps
ising_model_10,10,20,500,94,20,8,default,swaps
ising_model_10,10,20,505,104,25,9,default,swaps
ising_model_10,10,20,508,103,28,10,default,swaps
ising_model_10,10,20,507,109,27,11,default,swaps
ising_model_10,10,20,500,97,20,12,default,swaps
ising_model_10,10,20,496,90,16,13,default,swaps
ising_model_10,10,20,505,98,25,14,default,swaps
ising_model_10,10,20,494,93,14,15,default,swaps
ising_model_10,10,50,504,103,24,1,default,swaps
ising_model_10,10,50,504,105,24,2,default,swaps
ising_model_10,10,50,497,88,17,3,default,swaps
ising_model_10,10,50,508,112,28,4,default,swaps
ising_model_10,10,50,500,97,20,5,default,swaps
ising_model_10,10,50,503,96,23,6,default,swaps
ising_model_10,10,50,500,87,20,7,default,swaps
ising_model_10,10,50,516,108,36,8,default,swaps
ising_model_10,10,50,499,107,19,9,default,swaps
ising_model_10,10,50,505,101,25,10,default,swaps
ising_model_10,10,50,493,84,13,11,default,swaps
ising_model_10,10,50,501,94,21,12,default,swaps
ising_model_10,10,50,506,105,26,13,default,swaps
ising_model_10,10,50,505,102,25,14,default,swaps
ising_model_10,10,50,510,100,30,15,default,swaps
ising_model_10,10,75,486,89,6,1,default,swaps
ising_model_10,10,75,486,88,6,2,default,swaps
ising_model_10,10,75,486,88,6,3,default,swaps
ising_model_10,10,75,488,135,8,4,default,swaps
ising_model_10,10,75,487,126,7,5,default,swaps
ising_model_10,10,75,486,90,6,6,default,swaps
ising_model_10,10,75,486,90,6,7,default,swaps
ising_model_10,10,75,490,138,10,8,default,swaps
ising_model_10,10,75,486,90,6,9,default,swaps
ising_model_10,10,75,487,95,7,10,default,swaps
ising_model_10,10,75,486,88,6,11,default,swaps
ising_model_10,10,75,487,96,7,12,default,swaps
ising_model_10,10,75,486,89,6,13,default,swaps
ising_model_10,10,75,487,96,7,14,default,swaps
ising_model_10,10,75,489,98,9,15,default,swaps
ising_model_10,10,100,487,126,7,1,default,swaps
ising_model_10,10,100,487,115,7,2,default,swaps
ising_model_10,10,100,488,100,8,3,default,swaps
ising_model_10,10,100,488,95,8,4,default,swaps
ising_model_10,10,100,489,97,9,5,default,swaps
ising_model_10,10,100,486,88,6,6,default,swaps
ising_model_10,10,100,488,95,8,7,default,swaps
ising_model_10,10,100,488,136,8,8,default,swaps
ising_model_10,10,100,487,115,7,9,default,swaps
ising_model_10,10,100,486,88,6,10,default,swaps
ising_model_10,10,100,486,90,6,11,default,swaps
ising_model_10,10,100,486,88,6,12,default,swaps
ising_model_10,10,100,489,133,9,13,default,swaps
ising_model_10,10,100,486,89,6,14,default,swaps
ising_model_10,10,100,488,136,8,15,default,swaps
ising_model_10,10,200,486,88,6,1,default,swaps
ising_model_10,10,200,488,107,8,2,default,swaps
ising_model_10,10,200,486,90,6,3,default,swaps
ising_model_10,10,200,486,88,6,4,default,swaps
ising_model_10,10,200,490,149,10,5,default,swaps
ising_model_10,10,200,488,114,8,6,default,swaps
ising_model_10,10,200,486,88,6,7,default,swaps
ising_model_10,10,200,486,89,6,8,default,swaps
ising_model_10,10,200,488,94,8,9,default,swaps
ising_model_10,10,200,489,136,9,10,default,swaps
ising_model_10,10,200,488,114,8,11,default,swaps
ising_model_10,10,200,488,91,8,12,default,swaps
ising_model_10,10,200,486,88,6,13,default,swaps
ising_model_10,10,200,488,91,8,14,default,swaps
ising_model_10,10,200,486,88,6,15,default,swaps
ising_model_10,10,250,486,89,6,1,default,swaps
ising_model_10,10,250,488,135,8,2,default,swaps
ising_model_10,10,250,488,96,8,3,default,swaps
ising_model_10,10,250,491,120,11,4,default,swaps
ising_model_10,10,250,488,136,8,5,default,swaps
ising_model_10,10,250,488,107,8,6,default,swaps
ising_model_10,10,250,488,90,8,7,default,swaps
