,instance_name,swaps,indice
74,graycode6_47,3,0
70,ex1_226,5,1
144,xor5_254,5,2
6,4gt11_84,4,3
69,ex-1_166,3,4
27,4mod5-v0_20,4,5
76,ham3_102,4,6
28,4mod5-v1_22,5,7
97,mod5d1_63,6,8
5,4gt11_83,5,9
4,4gt11_82,7,10
113,rd32-v0_66,8,11
26,4mod5-v0_19,5,12
99,mod5mils_65,6,13
1,3_17_13,7,14
30,4mod5-v1_24,7,15
39,alu-v0_27,8,16
114,rd32-v1_68,8,17
40,alu-v1_28,7,18
41,alu-v1_29,7,19
45,alu-v2_33,9,20
47,alu-v3_35,6,21
49,alu-v4_37,8,22
89,miller_11,9,23
64,decod24-v0_38,11,24
46,alu-v3_34,7,25
66,decod24-v2_43,11,26
98,mod5d2_64,11,27
14,4gt13_92,11,28
11,4gt13-v1_93,11,29
25,4mod5-v0_18,12,30
29,4mod5-v1_23,12,31
105,one-two-three-v2_100,9,32
24,4mod5-bdd_287,8,33
106,one-two-three-v3_101,11,34
108,qe_qft_4,5,35
62,decod24-bdd_294,10,36
21,4gt5_75,11,37
37,alu-bdd_288,10,38
38,alu-v0_26,14,39
115,rd32_270,14,40
65,decod24-v1_41,12,41
22,4gt5_76,12,42
13,4gt13_91,13,43
12,4gt13_90,16,44
109,qe_qft_5,2,45
48,alu-v4_36,14,46
23,4gt5_77,14,47
104,one-two-three-v1_99,20,48
120,rd53_138,11,49
103,one-two-three-v0_98,19,50
3,4gt10-v1_81,20,51
67,decod24-v3_45,17,52
36,aj-e11_165,21,53
31,4mod7-v0_94,15,54
44,alu-v2_32,23,55
32,4mod7-v1_96,19,56
91,mini_alu_305,16,57
55,cnt3-5_179,22,58
95,mod10_176,21,59
19,4gt4-v0_80,16,60
9,4gt12-v0_88,19,61
110,qft_10,25,62
0,0410184_169,30,63
140,sys6-v0_111,19,64
2,4_49_16,26,65
10,4gt12-v1_89,13,66
123,rd73_140,24,67
18,4gt4-v0_79,18,68
78,hwb4_49,32,69
17,4gt4-v0_78,19,70
94,mod10_171,32,71
8,4gt12-v0_87,17,72
7,4gt12-v0_86,19,73
15,4gt4-v0_72,16,74
136,sym6_316,32,75
20,4gt4-v1_74,22,76
122,rd53_311,33,77
90,mini-alu_167,39,78
102,one-two-three-v0_97,38,79
119,rd53_135,29,80
77,ham7_104,22,81
137,sym9_146,42,82
63,decod24-enable_126,32,83
101,mod8-10_178,20,84
125,rd84_142,48,85
16,4gt4-v0_73,31,86
72,ex3_229,25,87
100,mod8-10_177,30,88
43,alu-v2_31,66,89
34,C17_204,31,90
117,rd53_131,34,91
83,ising_model_10,6,92
56,cnt3-5_180,57,93
42,alu-v2_30,39,94
111,qft_16,80,95
96,mod5adder_127,38,96
118,rd53_133,42,97
87,majority_239,42,98
71,ex2_227,58,99
84,ising_model_13,8,100
53,cm82a_208,33,101
130,sf_276,29,102
129,sf_274,21,103
85,ising_model_16,12,104
58,con1_216,119,105
143,wim_266,106,106
116,rd53_130,81,107
73,f2_232,79,108
51,cm152a_212,91,109
121,rd53_251,96,110
79,hwb5_53,91,111
52,cm42a_207,111,112
107,pm1_249,120,113
60,dc1_220,109,114
133,squar5_261,117,115
132,sqrt8_260,215,116
145,z4_268,210,117
112,radd_250,248,118
35,adr4_197,242,119
135,sym6_145,146,120
92,misex1_241,188,121
124,rd73_252,389,122
59,cycle10_2_110,442,123
80,hwb6_56,387,124
134,square_root_7,360,125
75,ham15_107,691,126
61,dc2_222,711,127
131,sqn_258,703,128
82,inc_237,521,129
54,cm85a_209,721,130
126,rd84_253,1087,131
127,root_255,1292,132
57,co14_215,1490,133
93,mlp4_245,1208,134
141,urf2_277,2115,135
138,sym9_148,883,136
86,life_238,1596,137
81,hwb7_59,1326,138
88,max46_240,1903,139
50,clip_206,2503,140
33,9symml_195,2823,141
139,sym9_193,2689,142
68,dist_223,3410,143
128,sao2_257,2910,144
142,urf5_280,5944,145
