,instance_name,num_chunks,depth_out,qubits,size,depth,dim_chunk
74,graycode6_47,1,5.0,6,5,5,5.0
70,ex1_226,1,7.0,6,7,5,5.0
158,xor5_254,1,7.0,6,7,5,5.0
6,4gt11_84,1,13.0,5,18,11,11.0
69,ex-1_166,1,15.0,3,19,12,12.0
77,ham3_102,1,16.0,3,20,13,13.0
27,4mod5-v0_20,3,13.0,5,20,12,4.0
28,4mod5-v1_22,1,15.066666666666666,5,21,12,12.0
100,mod5d1_63,1,16.0,5,22,13,13.0
5,4gt11_83,1,16.0,5,23,16,16.0
4,4gt11_82,1,21.0,5,27,20,20.0
118,rd32-v0_66,1,25.0,4,34,20,20.0
26,4mod5-v0_19,1,25.0,5,35,21,21.0
102,mod5mils_65,1,24.0,5,35,21,21.0
30,4mod5-v1_24,1,24.0,5,36,21,21.0
39,alu-v0_27,1,25.0,5,36,21,21.0
119,rd32-v1_68,1,26.0,4,36,21,21.0
1,3_17_13,1,27.0,3,36,22,22.0
49,alu-v4_37,1,26.0,5,37,22,22.0
40,alu-v1_28,1,26.0,5,37,22,22.0
47,alu-v3_35,1,23.0,5,37,22,22.0
45,alu-v2_33,1,26.0,5,37,22,22.0
41,alu-v1_29,1,25.0,5,37,22,22.0
92,miller_11,1,37.0,3,50,29,29.0
64,decod24-v0_38,1,38.0,4,51,30,30.0
46,alu-v3_34,1,36.0,5,52,30,30.0
66,decod24-v2_43,1,38.0,4,52,30,30.0
101,mod5d2_64,1,36.0,5,53,32,32.0
14,4gt13_92,1,48.0,5,66,38,38.0
11,4gt13-v1_93,40,45.0,5,68,39,0.975
25,4mod5-v0_18,1,45.0,5,69,40,40.0
29,4mod5-v1_23,1,47.0,5,69,41,41.0
108,one-two-three-v2_100,2,43.0,5,69,40,20.0
109,one-two-three-v3_101,1,46.0,5,70,40,40.0
24,4mod5-bdd_287,1,43.0,7,70,41,41.0
113,qe_qft_4,3,38.0,5,71,36,12.0
62,decod24-bdd_294,1,45.0,6,73,40,40.0
21,4gt5_75,1,52.0,5,83,47,47.0
37,alu-bdd_288,1,51.0,7,84,48,48.0
120,rd32_270,1,55.0,5,84,47,47.0
38,alu-v0_26,1,57.0,5,84,49,49.0
65,decod24-v1_41,1,56.0,5,85,50,50.0
22,4gt5_76,1,61.0,5,91,56,56.0
13,4gt13_91,2,66.0,5,103,61,30.5
114,qe_qft_5,1,52.0,5,107,51,51.0
12,4gt13_90,2,70.0,5,107,65,32.5
48,alu-v4_36,1,75.0,5,115,66,66.0
23,4gt5_77,1,79.0,5,131,74,74.0
125,rd53_138,3,62.0,8,132,56,18.666666666666668
107,one-two-three-v1_99,1,86.2,5,132,76,76.0
106,one-two-three-v0_98,1,90.0,5,146,82,82.0
3,4gt10-v1_81,2,93.0,5,148,84,42.0
67,decod24-v3_45,1,92.0,5,150,84,84.0
36,aj-e11_165,1,97.0,5,151,86,86.0
31,4mod7-v0_94,1,103.8,5,162,92,92.0
44,alu-v2_32,1,103.53333333333333,5,163,92,92.0
32,4mod7-v1_96,1,104.0,5,164,94,94.0
94,mini_alu_305,1,73.0,10,173,69,69.0
55,cnt3-5_179,2,65.93333333333334,16,175,61,30.5
98,mod10_176,1,110.0,5,178,101,101.0
19,4gt4-v0_80,1,107.0,6,179,101,101.0
9,4gt12-v0_88,2,117.0,6,194,108,54.0
115,qft_10,1,75.53333333333333,10,200,63,63.0
0,0410184_169,1,112.6,14,211,104,104.0
146,sys6-v0_111,4,82.13333333333334,10,215,75,18.75
2,4_49_16,2,134.8,5,217,125,62.5
10,4gt12-v1_89,1,136.0,6,228,130,130.0
128,rd73_140,1,104.73333333333333,10,230,92,92.0
18,4gt4-v0_79,1,141.46666666666667,6,231,132,132.0
79,hwb4_49,2,149.4,5,233,134,67.0
17,4gt4-v0_78,1,146.46666666666667,6,235,137,137.0
97,mod10_171,2,149.0,5,244,139,69.5
8,4gt12-v0_87,1,142.13333333333333,6,247,131,131.0
7,4gt12-v0_86,2,147.0,6,251,135,67.5
15,4gt4-v0_72,1,141.0,6,258,137,137.0
142,sym6_316,1,145.2,14,270,135,135.0
20,4gt4-v1_74,2,165.0,6,273,154,77.0
127,rd53_311,3,139.06666666666666,13,275,124,41.333333333333336
93,mini-alu_167,2,176.66666666666666,5,288,162,81.0
105,one-two-three-v0_97,3,176.0,5,290,163,54.333333333333336
124,rd53_135,1,169.73333333333332,7,296,159,159.0
78,ham7_104,3,196.8,7,320,185,61.666666666666664
143,sym9_146,2,143.8,12,328,127,63.5
63,decod24-enable_126,2,200.66666666666666,6,338,190,95.0
104,mod8-10_178,3,202.86666666666667,6,342,193,64.33333333333333
130,rd84_142,3,125.66666666666667,15,343,110,36.666666666666664
16,4gt4-v0_73,3,241.0,6,395,227,75.66666666666667
72,ex3_229,2,236.6,6,403,226,113.0
103,mod8-10_177,4,267.06666666666666,6,440,251,62.75
43,alu-v2_31,3,276.6666666666667,5,451,255,85.0
34,C17_204,3,266.06666666666666,7,467,253,84.33333333333333
122,rd53_131,3,271.46666666666664,7,469,261,87.0
86,ising_model_10,1,71.0,10,480,70,70.0
56,cnt3-5_180,2,224.93333333333334,16,485,209,104.5
42,alu-v2_30,2,298.8,6,504,285,142.5
116,qft_16,2,138.8,16,512,105,52.5
99,mod5adder_127,2,319.46666666666664,6,555,302,151.0
123,rd53_133,5,345.93333333333334,7,580,327,65.4
90,majority_239,4,360.46666666666664,7,612,344,86.0
71,ex2_227,3,374.46666666666664,7,631,355,118.33333333333333
87,ising_model_13,1,75.0,13,633,71,71.0
53,cm82a_208,4,356.8,8,650,337,84.25
135,sf_276,4,445.93333333333334,6,778,435,108.75
134,sf_274,3,450.73333333333335,6,781,436,145.33333333333334
88,ising_model_16,1,75.26666666666667,16,786,71,71.0
58,con1_216,4,539.3333333333334,9,954,508,127.0
157,wim_266,4,544.1333333333333,11,986,514,128.5
121,rd53_130,5,603.6,7,1043,569,113.8
73,f2_232,5,703.2666666666667,8,1206,668,133.6
51,cm152a_212,5,718.7333333333333,12,1221,684,136.8
126,rd53_251,5,752.7333333333333,8,1291,712,142.4
80,hwb5_53,10,800.2666666666667,6,1336,758,75.8
52,cm42a_207,10,983.9333333333333,14,1776,940,94.0
112,pm1_249,10,982.8,14,1776,940,94.0
60,dc1_220,5,1084.6,11,1914,1038,207.6
138,squar5_261,10,1105.8666666666666,13,1993,1049,104.9
137,sqrt8_260,20,1755.2666666666667,12,3009,1659,82.95
159,z4_268,30,1732.6666666666667,11,3073,1644,54.8
117,radd_250,20,1875.2,13,3213,1781,89.05
35,adr4_197,20,1942.2666666666667,13,3439,1839,91.95
141,sym6_145,30,2313.733333333333,7,3888,2187,72.9
95,misex1_241,20,2767.5333333333333,15,4813,2676,133.8
129,rd73_252,30,3035.4666666666667,10,5321,2867,95.56666666666666
59,cycle10_2_110,40,3587.133333333333,12,6050,3386,84.65
81,hwb6_56,50,3956.4666666666667,7,6723,3736,74.72
139,square_root_7,40,4023.0,15,7630,3847,96.175
76,ham15_107,50,5088.066666666667,15,8763,4819,96.38
61,dc2_222,50,5542.733333333334,15,9462,5242,104.84
136,sqn_258,100,5794.466666666666,10,10223,5458,54.58
85,inc_237,50,6144.666666666667,16,10619,5863,117.26
54,cm85a_209,100,6721.666666666667,14,11414,6374,63.74
131,rd84_253,100,7744.866666666667,12,13658,7261,72.61
132,root_255,100,9470.466666666667,13,17159,8835,88.35
57,co14_215,200,9270.066666666668,15,17936,8570,42.85
96,mlp4_245,100,10996.466666666667,16,18852,10328,103.28
150,urf2_277,200,12316.533333333333,8,20112,11390,56.95
144,sym9_148,100,12570.2,10,21504,12087,120.87
89,life_238,200,13305.4,11,22445,12511,62.555
82,hwb7_59,200,14207.8,8,24379,13437,67.185
91,max46_240,200,15276.6,10,27126,14257,71.285
50,clip_206,300,19134.0,14,33827,17879,59.596666666666664
145,sym9_193,300,20548.133333333335,11,34881,19235,64.11666666666666
33,9symml_195,300,20534.466666666667,11,34881,19235,64.11666666666666
68,dist_223,400,21272.2,13,38046,19694,49.235
133,sao2_257,300,21027.2,14,38577,19563,65.21
155,urf5_280,400,30155.933333333334,9,49829,27822,69.555
148,urf1_278,500,33632.666666666664,9,54766,30955,61.91
140,sym10_262,500,38579.066666666666,12,64283,35572,71.144
83,hwb8_113,500,41749.26666666667,9,69380,38717,77.434
149,urf2_152,500,47830.333333333336,8,80480,44100,88.2
152,urf3_279,500,80094.26666666666,10,125362,70702,141.404
110,plus63mod4096_163,500,81589.4,13,128744,72246,144.492
154,urf5_158,500,100173.93333333333,9,164416,89145,178.29
156,urf6_160,500,106408.33333333333,15,171840,93645,187.29
147,urf1_149,500,112516.8,9,184864,99585,199.17
111,plus63mod8192_164,500,119640.8,14,187112,105142,210.284
84,hwb9_119,500,132894.73333333334,10,207775,116199,232.398
75,ground_state_estimation_10,300,246527.73333333334,13,390180,245614,818.7133333333334
151,urf3_155,400,268661.6,10,423488,229365,573.4125
153,urf4_187,400,316282.0,11,512064,264330,660.825
