,instance_name,num_chunks,num_swaps,qubits,size,depth,dim_chunk
74,graycode6_47,1,3.0,6,5,5,5.0
70,ex1_226,1,5.0,6,7,5,5.0
158,xor5_254,1,5.0,6,7,5,5.0
6,4gt11_84,1,4.0,5,18,11,11.0
69,ex-1_166,1,3.0,3,19,12,12.0
77,ham3_102,1,4.0,3,20,13,13.0
27,4mod5-v0_20,1,4.0,5,20,12,12.0
28,4mod5-v1_22,1,5.0,5,21,12,12.0
100,mod5d1_63,1,6.0,5,22,13,13.0
5,4gt11_83,1,5.0,5,23,16,16.0
4,4gt11_82,1,7.0,5,27,20,20.0
118,rd32-v0_66,1,8.0,4,34,20,20.0
26,4mod5-v0_19,1,5.0,5,35,21,21.0
102,mod5mils_65,1,6.0,5,35,21,21.0
30,4mod5-v1_24,1,7.0,5,36,21,21.0
39,alu-v0_27,1,8.0,5,36,21,21.0
119,rd32-v1_68,1,8.0,4,36,21,21.0
1,3_17_13,1,7.0,3,36,22,22.0
49,alu-v4_37,1,8.0,5,37,22,22.0
40,alu-v1_28,1,7.0,5,37,22,22.0
47,alu-v3_35,1,6.0,5,37,22,22.0
45,alu-v2_33,1,9.0,5,37,22,22.0
41,alu-v1_29,1,7.0,5,37,22,22.0
92,miller_11,1,9.0,3,50,29,29.0
64,decod24-v0_38,1,11.0,4,51,30,30.0
46,alu-v3_34,1,7.0,5,52,30,30.0
66,decod24-v2_43,1,11.0,4,52,30,30.0
101,mod5d2_64,1,11.0,5,53,32,32.0
14,4gt13_92,1,11.0,5,66,38,38.0
11,4gt13-v1_93,1,11.0,5,68,39,39.0
25,4mod5-v0_18,1,12.0,5,69,40,40.0
29,4mod5-v1_23,1,12.0,5,69,41,41.0
108,one-two-three-v2_100,1,9.0,5,69,40,40.0
109,one-two-three-v3_101,1,11.0,5,70,40,40.0
24,4mod5-bdd_287,1,8.0,7,70,41,41.0
113,qe_qft_4,1,5.0,5,71,36,36.0
62,decod24-bdd_294,1,10.0,6,73,40,40.0
21,4gt5_75,1,11.0,5,83,47,47.0
37,alu-bdd_288,1,10.0,7,84,48,48.0
120,rd32_270,1,14.0,5,84,47,47.0
38,alu-v0_26,1,14.0,5,84,49,49.0
65,decod24-v1_41,1,12.0,5,85,50,50.0
22,4gt5_76,1,12.0,5,91,56,56.0
13,4gt13_91,1,13.0,5,103,61,61.0
114,qe_qft_5,1,2.0,5,107,51,51.0
12,4gt13_90,1,16.0,5,107,65,65.0
48,alu-v4_36,1,14.0,5,115,66,66.0
23,4gt5_77,2,14.0,5,131,74,37.0
125,rd53_138,3,11.0,8,132,56,18.666666666666668
107,one-two-three-v1_99,2,20.4,5,132,76,38.0
106,one-two-three-v0_98,1,19.4,5,146,82,82.0
3,4gt10-v1_81,1,21.2,5,148,84,84.0
67,decod24-v3_45,2,19.4,5,150,84,42.0
36,aj-e11_165,1,21.266666666666666,5,151,86,86.0
31,4mod7-v0_94,2,16.0,5,162,92,46.0
44,alu-v2_32,1,23.133333333333333,5,163,92,92.0
32,4mod7-v1_96,2,17.0,5,164,94,47.0
94,mini_alu_305,4,17.2,10,173,69,17.25
55,cnt3-5_179,1,27.2,16,175,61,61.0
98,mod10_176,2,21.0,5,178,101,50.5
19,4gt4-v0_80,1,17.6,6,179,101,101.0
9,4gt12-v0_88,1,20.333333333333332,6,194,108,108.0
115,qft_10,3,25.866666666666667,10,200,63,21.0
0,0410184_169,2,29.466666666666665,14,211,104,52.0
146,sys6-v0_111,2,20.733333333333334,10,215,75,37.5
2,4_49_16,2,25.866666666666667,5,217,125,62.5
10,4gt12-v1_89,1,14.6,6,228,130,130.0
128,rd73_140,2,24.533333333333335,10,230,92,46.0
18,4gt4-v0_79,2,20.0,6,231,132,66.0
79,hwb4_49,2,30.066666666666666,5,233,134,67.0
17,4gt4-v0_78,1,22.0,6,235,137,137.0
97,mod10_171,4,27.333333333333332,5,244,139,34.75
8,4gt12-v0_87,1,19.733333333333334,6,247,131,131.0
7,4gt12-v0_86,1,20.133333333333333,6,251,135,135.0
15,4gt4-v0_72,1,18.933333333333334,6,258,137,137.0
142,sym6_316,4,31.533333333333335,14,270,135,33.75
20,4gt4-v1_74,1,27.333333333333332,6,273,154,154.0
127,rd53_311,2,32.2,13,275,124,62.0
93,mini-alu_167,4,33.53333333333333,5,288,162,40.5
105,one-two-three-v0_97,4,34.733333333333334,5,290,163,40.75
124,rd53_135,3,33.8,7,296,159,53.0
78,ham7_104,3,21.0,7,320,185,61.666666666666664
143,sym9_146,5,32.4,12,328,127,25.4
63,decod24-enable_126,2,30.0,6,338,190,95.0
104,mod8-10_178,2,21.6,6,342,193,96.5
130,rd84_142,5,42.666666666666664,15,343,110,22.0
16,4gt4-v0_73,4,27.0,6,395,227,56.75
72,ex3_229,2,29.0,6,403,226,113.0
103,mod8-10_177,3,30.333333333333332,6,440,251,83.66666666666667
43,alu-v2_31,4,48.86666666666667,5,451,255,63.75
34,C17_204,3,30.066666666666666,7,467,253,84.33333333333333
122,rd53_131,3,42.46666666666667,7,469,261,87.0
86,ising_model_10,1,6.0,10,480,70,70.0
56,cnt3-5_180,4,42.266666666666666,16,485,209,52.25
42,alu-v2_30,2,39.46666666666667,6,504,285,142.5
116,qft_16,3,73.86666666666666,16,512,105,35.0
99,mod5adder_127,2,34.06666666666667,6,555,302,151.0
123,rd53_133,2,46.53333333333333,7,580,327,163.5
90,majority_239,2,34.666666666666664,7,612,344,172.0
71,ex2_227,3,50.4,7,631,355,118.33333333333333
87,ising_model_13,1,8.0,13,633,71,71.0
53,cm82a_208,4,35.266666666666666,8,650,337,84.25
135,sf_276,5,24.133333333333333,6,778,435,87.0
134,sf_274,4,21.2,6,781,436,109.0
88,ising_model_16,1,13.866666666666667,16,786,71,71.0
58,con1_216,5,78.33333333333333,9,954,508,101.6
157,wim_266,10,62.93333333333333,11,986,514,51.4
121,rd53_130,5,75.13333333333334,7,1043,569,113.8
73,f2_232,5,63.93333333333333,8,1206,668,133.6
51,cm152a_212,4,84.4,12,1221,684,171.0
126,rd53_251,4,81.8,8,1291,712,178.0
80,hwb5_53,5,94.73333333333333,6,1336,758,151.6
52,cm42a_207,10,105.8,14,1776,940,94.0
112,pm1_249,10,111.0,14,1776,940,94.0
60,dc1_220,10,124.66666666666667,11,1914,1038,103.8
138,squar5_261,10,146.53333333333333,13,1993,1049,104.9
137,sqrt8_260,30,244.2,12,3009,1659,55.3
159,z4_268,20,232.93333333333334,11,3073,1644,82.2
117,radd_250,20,257.1333333333333,13,3213,1781,89.05
35,adr4_197,30,286.4,13,3439,1839,61.3
141,sym6_145,30,187.13333333333333,7,3888,2187,72.9
95,misex1_241,20,249.53333333333333,15,4813,2676,133.8
129,rd73_252,40,430.4,10,5321,2867,71.675
59,cycle10_2_110,40,493.06666666666666,12,6050,3386,84.65
81,hwb6_56,50,460.2,7,6723,3736,74.72
139,square_root_7,40,448.0,15,7630,3847,96.175
76,ham15_107,40,625.6,15,8763,4819,120.475
61,dc2_222,50,739.1333333333333,15,9462,5242,104.84
136,sqn_258,100,788.2666666666667,10,10223,5458,54.58
85,inc_237,50,603.2666666666667,16,10619,5863,117.26
54,cm85a_209,100,874.7333333333333,14,11414,6374,63.74
131,rd84_253,100,1273.9333333333334,12,13658,7261,72.61
132,root_255,100,1559.0666666666666,13,17159,8835,88.35
57,co14_215,200,1777.4666666666667,15,17936,8570,42.85
96,mlp4_245,200,1547.7333333333333,16,18852,10328,51.64
150,urf2_277,300,2526.8,8,20112,11390,37.96666666666667
144,sym9_148,50,1079.3333333333333,10,21504,12087,241.74
89,life_238,200,2022.8,11,22445,12511,62.555
82,hwb7_59,200,1975.7333333333333,8,24379,13437,67.185
91,max46_240,200,2410.4666666666667,10,27126,14257,71.285
50,clip_206,300,3092.5333333333333,14,33827,17879,59.596666666666664
145,sym9_193,300,3349.5333333333333,11,34881,19235,64.11666666666666
33,9symml_195,400,3362.0666666666666,11,34881,19235,48.0875
68,dist_223,400,3657.866666666667,13,38046,19694,49.235
133,sao2_257,500,3452.133333333333,14,38577,19563,39.126
155,urf5_280,500,5817.333333333333,9,49829,27822,55.644
148,urf1_278,500,7114.733333333334,9,54766,30955,61.91
140,sym10_262,500,7595.933333333333,12,64283,35572,71.144
83,hwb8_113,500,7320.333333333333,9,69380,38717,77.434
149,urf2_152,500,9558.066666666668,8,80480,44100,88.2
152,urf3_279,500,23054.666666666668,10,125362,70702,141.404
110,plus63mod4096_163,500,21313.2,13,128744,72246,144.492
154,urf5_158,500,26221.6,9,164416,89145,178.29
156,urf6_160,500,32179.066666666666,15,171840,93645,187.29
147,urf1_149,500,31198.466666666667,9,184864,99585,199.17
111,plus63mod8192_164,500,34278.933333333334,14,187112,105142,210.284
84,hwb9_119,500,37406.13333333333,10,207775,116199,232.398
75,ground_state_estimation_10,500,6937.0,13,390180,245614,491.228
151,urf3_155,500,84784.13333333333,10,423488,229365,458.73
153,urf4_187,100,115340.33333333333,11,512064,264330,2643.3
