,instance_name,num_chunks,depth_out,qubits,size,depth
5,miller_11,1,37.0,3,50,29
1,4gt13_91,2,66.0,5,103,61
0,0410184_169,2,112.73333333333333,14,211,104
4,ex3_229,2,237.53333333333333,6,403,226
7,rd53_131,3,271.73333333333335,7,469,261
10,sf_276,8,460.53333333333336,6,778,435
8,rd53_251,6,749.0666666666667,8,1291,712
12,sqrt8_260,21,1753.4666666666667,12,3009,1659
6,misex1_241,22,2774.266666666667,15,4813,2676
3,cycle10_2_110,57,3604.866666666667,12,6050,3386
13,square_root_7,52,4048.0,15,7630,3847
11,sqn_258,85,5810.6,10,10223,5458
9,root_255,110,9556.4,13,17159,8835
14,urf2_277,114,12449.8,8,20112,11390
2,clip_206,400,19306.333333333332,14,33827,17879
