,instance_name,num_chunks,num_swaps,qubits,size,depth
5,miller_11,1,9.0,3,50,29
1,4gt13_91,1,13.0,5,103,61
0,0410184_169,2,31.533333333333335,14,211,104
4,ex3_229,2,30.466666666666665,6,403,226
7,rd53_131,3,44.4,7,469,261
10,sf_276,5,24.4,6,778,435
8,rd53_251,4,89.06666666666666,8,1291,712
12,sqrt8_260,22,265.93333333333334,12,3009,1659
6,misex1_241,18,247.4,15,4813,2676
3,cycle10_2_110,60,521.0666666666667,12,6050,3386
13,square_root_7,47,495.93333333333334,15,7630,3847
11,sqn_258,100,807.8,10,10223,5458
9,root_255,120,1730.3333333333333,13,17159,8835
14,urf2_277,400,2598.3333333333335,8,20112,11390
2,clip_206,550,3349.4,14,33827,17879
