instance_name,timeout,num_chunks,gate_out,depth_out,num_swaps,seed,seed_is
miller_11,10,1,59,39,9,1,0
miller_11,10,1,59,38,9,4,0
miller_11,10,1,59,39,9,2,0
miller_11,10,1,59,40,9,12,0
miller_11,10,1,59,37,9,3,0
miller_11,10,1,59,38,9,5,0
miller_11,10,1,59,37,9,6,0
miller_11,10,1,59,38,9,7,0
miller_11,10,1,59,38,9,8,0
miller_11,10,1,59,40,9,13,0
miller_11,10,1,59,38,9,9,0
miller_11,10,1,59,38,9,10,0
miller_11,10,1,59,40,9,11,0
miller_11,10,1,59,39,9,14,0
miller_11,10,1,59,39,9,15,0
miller_11,10,1,51,29,1,7,1
miller_11,10,1,51,29,1,1,1
miller_11,10,1,51,29,1,2,1
miller_11,10,1,51,29,1,10,1
miller_11,10,1,51,29,1,3,1
miller_11,10,1,51,29,1,4,1
miller_11,10,1,51,29,1,12,1
miller_11,10,1,51,29,1,5,1
miller_11,10,1,51,29,1,13,1
miller_11,10,1,51,29,1,14,1
miller_11,10,1,51,29,1,6,1
miller_11,10,1,51,29,1,15,1
miller_11,10,1,51,29,1,8,1
miller_11,10,1,51,29,1,9,1
miller_11,10,1,51,29,1,11,1
miller_11,10,1,52,30,2,1,2
miller_11,10,1,52,30,2,3,2
miller_11,10,1,52,30,2,6,2
miller_11,10,1,52,30,2,7,2
miller_11,10,1,52,30,2,9,2
miller_11,10,1,52,30,2,2,2
miller_11,10,1,52,30,2,4,2
miller_11,10,1,52,30,2,11,2
miller_11,10,1,52,30,2,13,2
miller_11,10,1,52,30,2,5,2
miller_11,10,1,52,30,2,14,2
miller_11,10,1,52,30,2,15,2
miller_11,10,1,52,30,2,8,2
miller_11,10,1,52,30,2,10,2
miller_11,10,1,52,30,2,12,2
miller_11,10,1,54,31,4,1,3
miller_11,10,1,54,31,4,4,3
miller_11,10,1,54,31,4,5,3
miller_11,10,1,54,31,4,2,3
miller_11,10,1,54,31,4,3,3
miller_11,10,1,54,31,4,11,3
miller_11,10,1,54,31,4,6,3
miller_11,10,1,54,31,4,12,3
miller_11,10,1,54,31,4,14,3
miller_11,10,1,54,31,4,7,3
miller_11,10,1,54,31,4,15,3
miller_11,10,1,54,31,4,8,3
miller_11,10,1,54,31,4,9,3
miller_11,10,1,54,31,4,10,3
miller_11,10,1,54,31,4,13,3
miller_11,10,1,53,30,3,2,4
miller_11,10,1,53,30,3,1,4
miller_11,10,1,53,30,3,3,4
miller_11,10,1,53,30,3,7,4
miller_11,10,1,53,30,3,9,4
miller_11,10,1,53,30,3,4,4
miller_11,10,1,53,30,3,5,4
miller_11,10,1,53,30,3,6,4
miller_11,10,1,53,30,3,8,4
miller_11,10,1,53,30,3,13,4
miller_11,10,1,53,30,3,10,4
miller_11,10,1,53,30,3,11,4
miller_11,10,1,53,30,3,12,4
miller_11,10,1,53,30,3,14,4
miller_11,10,1,53,30,3,15,4
miller_11,10,1,53,30,3,1,5
miller_11,10,1,53,30,3,3,5
miller_11,10,1,53,30,3,5,5
miller_11,10,1,53,30,3,8,5
miller_11,10,1,53,30,3,9,5
miller_11,10,1,53,30,3,2,5
miller_11,10,1,53,30,3,10,5
miller_11,10,1,53,30,3,4,5
miller_11,10,1,53,30,3,13,5
miller_11,10,1,53,30,3,6,5
miller_11,10,1,53,30,3,7,5
miller_11,10,1,53,30,3,11,5
miller_11,10,1,53,30,3,12,5
miller_11,10,1,53,30,3,14,5
miller_11,10,1,53,30,3,15,5
miller_11,10,1,53,30,3,3,6
miller_11,10,1,53,30,3,5,6
miller_11,10,1,53,30,3,2,6
miller_11,10,1,53,30,3,7,6
miller_11,10,1,53,30,3,4,6
miller_11,10,1,53,30,3,8,6
miller_11,10,1,53,30,3,1,6
miller_11,10,1,53,30,3,6,6
miller_11,10,1,53,30,3,12,6
miller_11,10,1,53,30,3,9,6
miller_11,10,1,53,30,3,14,6
miller_11,10,1,53,30,3,10,6
miller_11,10,1,53,30,3,11,6
miller_11,10,1,53,30,3,13,6
miller_11,10,1,53,30,3,15,6
miller_11,10,1,53,30,3,2,7
miller_11,10,1,53,30,3,3,7
miller_11,10,1,53,30,3,5,7
miller_11,10,1,53,30,3,6,7
miller_11,10,1,53,30,3,7,7
miller_11,10,1,53,30,3,8,7
