instance_name,timeout,gate_out,depth_out,num_swaps,beta,gamma,delta,order,seed
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,1
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,3
decod24-v3_45,10,177,91,27,5,10,0.5,0;2;4;1;3,4
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,2
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,5
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,6
decod24-v3_45,10,177,91,27,5,10,0.5,0;2;4;1;3,7
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,8
decod24-v3_45,10,179,91,29,5,10,0.5,0;2;4;1;3,9
decod24-v3_45,10,177,91,27,5,10,0.5,0;2;4;1;3,10
decod24-v3_45,10,181,90,31,5,10,0.5,2;4;3;0;1,2
decod24-v3_45,10,174,90,24,5,10,0.5,2;4;3;0;1,3
decod24-v3_45,10,179,90,29,5,10,0.5,2;4;3;0;1,4
decod24-v3_45,10,181,90,31,5,10,0.5,2;4;3;0;1,5
decod24-v3_45,10,176,90,26,5,10,0.5,2;4;3;0;1,6
decod24-v3_45,10,174,90,24,5,10,0.5,2;4;3;0;1,1
decod24-v3_45,10,174,90,24,5,10,0.5,2;4;3;0;1,7
decod24-v3_45,10,176,90,26,5,10,0.5,2;4;3;0;1,9
decod24-v3_45,10,174,90,24,5,10,0.5,2;4;3;0;1,10
decod24-v3_45,10,174,90,24,5,10,0.5,2;4;3;0;1,8
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,1
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,4
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,2
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,3
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,6
decod24-v3_45,10,177,90,27,5,10,0.5,3;2;4;1;0,7
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,5
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,8
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,9
decod24-v3_45,10,179,90,29,5,10,0.5,3;2;4;1;0,10
decod24-v3_45,10,176,89,26,5,10,0.5,4;2;1;0;3,1
decod24-v3_45,10,176,89,26,5,10,0.5,4;2;1;0;3,3
decod24-v3_45,10,175,89,25,5,10,0.5,4;2;1;0;3,4
decod24-v3_45,10,175,89,25,5,10,0.5,4;2;1;0;3,2
decod24-v3_45,10,176,89,26,5,10,0.5,4;2;1;0;3,6
decod24-v3_45,10,175,89,25,5,10,0.5,4;2;1;0;3,8
decod24-v3_45,10,175,89,25,5,10,0.5,4;2;1;0;3,10
decod24-v3_45,10,176,89,26,5,10,0.5,4;2;1;0;3,9
decod24-v3_45,10,176,89,26,5,10,0.5,4;2;1;0;3,5
decod24-v3_45,10,175,89,25,5,10,0.5,4;2;1;0;3,7
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,2
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,1
decod24-v3_45,10,178,89,28,5,10,0.5,1;3;0;2;4,3
decod24-v3_45,10,178,89,28,5,10,0.5,1;3;0;2;4,4
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,5
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,6
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,9
decod24-v3_45,10,178,89,28,5,10,0.5,1;3;0;2;4,8
decod24-v3_45,10,178,89,28,5,10,0.5,1;3;0;2;4,7
decod24-v3_45,10,177,89,27,5,10,0.5,1;3;0;2;4,10
decod24-v3_45,10,179,90,29,5,10,0.5,0;4;1;3;2,1
decod24-v3_45,10,178,90,28,5,10,0.5,0;4;1;3;2,2
decod24-v3_45,10,178,90,28,5,10,0.5,0;4;1;3;2,4
decod24-v3_45,10,179,90,29,5,10,0.5,0;4;1;3;2,6
decod24-v3_45,10,179,90,29,5,10,0.5,0;4;1;3;2,5
decod24-v3_45,10,179,90,29,5,10,0.5,0;4;1;3;2,3
decod24-v3_45,10,179,90,29,5,10,0.5,0;4;1;3;2,7
decod24-v3_45,10,178,90,28,5,10,0.5,0;4;1;3;2,9
decod24-v3_45,10,178,90,28,5,10,0.5,0;4;1;3;2,8
decod24-v3_45,10,178,90,28,5,10,0.5,0;4;1;3;2,10
decod24-v3_45,10,178,93,28,5,10,0.5,3;2;0;4;1,1
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,2
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,4
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,5
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,6
decod24-v3_45,10,178,93,28,5,10,0.5,3;2;0;4;1,8
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,3
decod24-v3_45,10,178,93,28,5,10,0.5,3;2;0;4;1,7
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,10
decod24-v3_45,10,180,93,30,5,10,0.5,3;2;0;4;1,9
decod24-v3_45,10,179,93,29,5,10,0.5,1;0;3;4;2,2
decod24-v3_45,10,179,93,29,5,10,0.5,1;0;3;4;2,1
decod24-v3_45,10,181,93,31,5,10,0.5,1;0;3;4;2,4
decod24-v3_45,10,186,93,36,5,10,0.5,1;0;3;4;2,5
decod24-v3_45,10,181,93,31,5,10,0.5,1;0;3;4;2,3
decod24-v3_45,10,186,93,36,5,10,0.5,1;0;3;4;2,6
decod24-v3_45,10,186,93,36,5,10,0.5,1;0;3;4;2,7
decod24-v3_45,10,186,93,36,5,10,0.5,1;0;3;4;2,8
decod24-v3_45,10,179,93,29,5,10,0.5,1;0;3;4;2,9
decod24-v3_45,10,186,93,36,5,10,0.5,1;0;3;4;2,10
decod24-v3_45,10,177,90,27,5,10,0.5,0;3;2;1;4,1
decod24-v3_45,10,177,90,27,5,10,0.5,0;3;2;1;4,2
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,4
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,3
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,5
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,6
decod24-v3_45,10,177,90,27,5,10,0.5,0;3;2;1;4,7
decod24-v3_45,10,178,90,28,5,10,0.5,0;3;2;1;4,9
