instance_name,order,depth_mean,depth_var_pct,num_swaps_mean,num_swaps_var_pct,rank_depth,rank_swaps
decod24-v3_45,4;2;1;0;3,89.0,0.0,25.5,0.0,1.0,1.0
decod24-v3_45,1;3;0;2;4,89.0,0.0,27.4,7.45,1.0,3.0
decod24-v3_45,2;4;3;0;1,90.0,1.12,26.3,3.14,3.0,2.0
decod24-v3_45,0;3;2;1;4,90.0,1.12,27.6,8.24,3.0,4.0
decod24-v3_45,0;4;1;3;2,90.0,1.12,28.5,11.76,3.0,6.0
decod24-v3_45,3;2;4;1;0,90.0,1.12,28.8,12.94,3.0,7.0
decod24-v3_45,0;2;4;1;3,91.0,2.25,28.4,11.37,7.0,5.0
decod24-v3_45,3;2;0;4;1,93.0,4.49,29.4,15.29,8.0,8.0
decod24-v3_45,2;3;0;4;1,93.0,4.49,30.0,17.65,8.0,9.0
decod24-v3_45,1;0;3;4;2,93.0,4.49,32.9,29.02,8.0,10.0
rd53_130,0;4;3;1;5;2;6,625.8,0.0,153.5,2.68,1.0,4.0
rd53_130,6;4;5;3;1;0;2,627.7,0.3,155.2,3.81,2.0,6.0
rd53_130,0;3;1;4;6;5;2,628.5,0.43,166.9,11.64,3.0,18.0
rd53_130,6;4;3;5;2;0;1,628.7,0.46,155.1,3.75,4.0,5.0
rd53_130,6;0;5;1;4;3;2,629.3,0.56,165.0,10.37,5.0,16.0
rd53_130,6;3;1;4;0;2;5,629.3,0.56,174.5,16.72,5.0,24.0
rd53_130,6;4;5;3;0;2;1,629.4,0.58,163.7,9.5,7.0,15.0
rd53_130,2;6;4;5;3;1;0,629.9,0.66,149.5,0.0,8.0,1.0
rd53_130,1;5;6;4;0;2;3,629.9,0.66,156.9,4.95,8.0,9.0
rd53_130,0;6;2;4;3;1;5,630.4,0.74,158.8,6.22,10.0,10.0
rd53_130,0;6;2;5;4;1;3,631.4,0.89,156.2,4.48,11.0,8.0
rd53_130,2;1;4;5;0;6;3,631.6,0.93,162.6,8.76,12.0,12.0
rd53_130,5;0;2;4;3;1;6,631.8,0.96,150.7,0.8,13.0,2.0
rd53_130,5;3;1;6;4;0;2,631.9,0.97,163.0,9.03,14.0,14.0
rd53_130,3;1;2;5;4;6;0,632.3,1.04,162.7,8.83,15.0,13.0
rd53_130,5;0;1;4;6;3;2,632.9,1.13,173.2,15.85,16.0,23.0
rd53_130,6;0;1;4;5;3;2,633.1,1.17,167.6,12.11,17.0,20.0
rd53_130,6;1;3;5;4;2;0,633.6,1.25,169.3,13.24,18.0,21.0
rd53_130,4;5;0;6;1;2;3,633.7,1.26,174.6,16.79,19.0,25.0
rd53_130,5;3;6;1;2;0;4,633.9,1.29,166.7,11.51,20.0,17.0
rd53_130,6;2;1;0;5;3;4,634.2,1.34,175.5,17.39,21.0,27.0
rd53_130,3;5;2;6;0;1;4,635.1,1.49,174.7,16.86,22.0,26.0
rd53_130,0;3;4;6;1;5;2,635.4,1.53,170.1,13.78,23.0,22.0
rd53_130,5;2;4;6;3;1;0,635.7,1.58,190.9,27.69,24.0,30.0
rd53_130,6;5;0;3;2;1;4,635.9,1.61,155.8,4.21,25.0,7.0
rd53_130,1;2;5;3;0;4;6,636.1,1.65,152.4,1.94,26.0,3.0
rd53_130,2;6;4;3;1;5;0,636.1,1.65,167.1,11.77,26.0,19.0
rd53_130,5;2;3;1;6;4;0,636.8,1.76,160.0,7.02,28.0,11.0
rd53_130,0;2;5;4;1;3;6,636.9,1.77,176.4,17.99,29.0,28.0
rd53_130,6;2;3;4;0;1;5,638.7,2.06,178.1,19.13,30.0,29.0
