,instance_name,sabre_depth,sabre_swaps,size
74,graycode6_47,5,3,5
70,ex1_226,7,5,7
158,xor5_254,7,5,7
6,4gt11_84,15,4,18
69,ex-1_166,16,3,19
27,4mod5-v0_20,13,4,20
77,ham3_102,18,4,20
28,4mod5-v1_22,15,5,21
100,mod5d1_63,16,6,22
5,4gt11_83,16,5,23
4,4gt11_82,22,7,27
118,rd32-v0_66,29,8,34
26,4mod5-v0_19,24,5,35
102,mod5mils_65,24,6,35
1,3_17_13,32,7,36
30,4mod5-v1_24,23,8,36
39,alu-v0_27,29,9,36
119,rd32-v1_68,30,8,36
40,alu-v1_28,26,7,37
41,alu-v1_29,29,8,37
45,alu-v2_33,29,9,37
47,alu-v3_35,23,6,37
49,alu-v4_37,30,9,37
92,miller_11,43,9,50
64,decod24-v0_38,43,11,51
46,alu-v3_34,33,7,52
66,decod24-v2_43,45,11,52
101,mod5d2_64,38,11,53
14,4gt13_92,47,12,66
11,4gt13-v1_93,47,11,68
25,4mod5-v0_18,48,12,69
29,4mod5-v1_23,48,12,69
108,one-two-three-v2_100,49,13,69
24,4mod5-bdd_287,46,8,70
109,one-two-three-v3_101,47,11,70
113,qe_qft_4,39,5,71
62,decod24-bdd_294,50,10,73
21,4gt5_75,56,11,83
37,alu-bdd_288,53,10,84
38,alu-v0_26,64,14,84
120,rd32_270,60,14,84
65,decod24-v1_41,59,12,85
22,4gt5_76,68,15,91
13,4gt13_91,69,13,103
12,4gt13_90,77,16,107
114,qe_qft_5,53,2,107
48,alu-v4_36,80,14,115
23,4gt5_77,85,16,131
107,one-two-three-v1_99,97,22,132
125,rd53_138,66,15,132
106,one-two-three-v0_98,97,19,146
3,4gt10-v1_81,104,23,148
67,decod24-v3_45,103,20,150
36,aj-e11_165,109,23,151
31,4mod7-v0_94,106,19,162
44,alu-v2_32,113,23,163
32,4mod7-v1_96,111,21,164
94,mini_alu_305,86,17,173
55,cnt3-5_179,75,26,175
98,mod10_176,130,27,178
19,4gt4-v0_80,113,20,179
9,4gt12-v0_88,129,23,194
115,qft_10,90,25,200
0,0410184_169,124,26,211
146,sys6-v0_111,94,21,215
2,4_49_16,156,34,217
10,4gt12-v1_89,151,24,228
128,rd73_140,121,27,230
18,4gt4-v0_79,149,23,231
79,hwb4_49,178,38,233
17,4gt4-v0_78,151,22,235
97,mod10_171,171,34,244
8,4gt12-v0_87,147,18,247
7,4gt12-v0_86,152,17,251
15,4gt4-v0_72,152,20,258
142,sym6_316,162,39,270
20,4gt4-v1_74,186,35,273
127,rd53_311,151,38,275
93,mini-alu_167,209,49,288
105,one-two-three-v0_97,211,42,290
124,rd53_135,199,39,296
78,ham7_104,210,32,320
143,sym9_146,182,40,328
63,decod24-enable_126,221,31,338
104,mod8-10_178,221,26,342
130,rd84_142,160,56,343
16,4gt4-v0_73,274,43,395
72,ex3_229,267,34,403
103,mod8-10_177,304,44,440
43,alu-v2_31,320,70,451
34,C17_204,289,33,467
122,rd53_131,312,50,469
86,ising_model_10,92,6,480
56,cnt3-5_180,288,69,485
42,alu-v2_30,355,62,504
116,qft_16,216,64,512
99,mod5adder_127,372,51,555
123,rd53_133,395,56,580
90,majority_239,425,66,612
71,ex2_227,441,77,631
87,ising_model_13,92,8,633
53,cm82a_208,408,69,650
135,sf_276,490,44,778
134,sf_274,467,27,781
88,ising_model_16,104,13,786
58,con1_216,602,88,954
157,wim_266,646,118,986
121,rd53_130,747,140,1043
73,f2_232,850,158,1206
51,cm152a_212,827,141,1221
126,rd53_251,910,163,1291
80,hwb5_53,974,176,1336
52,cm42a_207,1161,187,1776
112,pm1_249,1153,182,1776
60,dc1_220,1235,162,1914
138,squar5_261,1255,172,1993
137,sqrt8_260,2103,371,3009
159,z4_268,2019,311,3073
117,radd_250,2223,383,3213
35,adr4_197,2276,386,3439
141,sym6_145,2734,429,3888
95,misex1_241,3202,460,4813
129,rd73_252,3756,684,5321
59,cycle10_2_110,4312,743,6050
81,hwb6_56,4883,894,6723
139,square_root_7,4631,732,7630
76,ham15_107,6099,1017,8763
61,dc2_222,6581,1117,9462
136,sqn_258,7066,1240,10223
85,inc_237,7085,1040,10619
54,cm85a_209,8048,1358,11414
131,rd84_253,9773,2001,13658
132,root_255,11659,2267,17159
57,co14_215,11652,2383,17936
96,mlp4_245,13322,2449,18852
150,urf2_277,15439,3285,20112
144,sym9_148,14591,2080,21504
89,life_238,16528,3214,22445
82,hwb7_59,17459,3300,24379
91,max46_240,19083,3807,27126
50,clip_206,23864,4690,33827
33,9symml_195,25571,4973,34881
145,sym9_193,25528,5069,34881
68,dist_223,27013,5555,38046
133,sao2_257,25610,4645,38577
155,urf5_280,37919,8183,49829
148,urf1_278,41564,9077,54766
140,sym10_262,47812,9738,64283
83,hwb8_113,51560,10511,69380
149,urf2_152,58583,11776,80480
152,urf3_279,97081,21853,125362
110,plus63mod4096_163,98282,20983,128744
154,urf5_158,120348,25387,164416
156,urf6_160,127748,29348,171840
147,urf1_149,134300,28618,184864
111,plus63mod8192_164,141540,29558,187112
84,hwb9_119,155114,31012,207775
75,ground_state_estimation_10,250258,5664,390180
151,urf3_155,312638,67742,423488
153,urf4_187,346138,64630,512064
