qasm,arch,seed,timeout,depth,swaps
graycode6_47,ibmq_tokyo.arch,1,60,7,3
graycode6_47,ibmq_tokyo.arch,3,60,7,3
graycode6_47,ibmq_tokyo.arch,5,60,7,3
graycode6_47,ibmq_tokyo.arch,2,60,6,3
graycode6_47,ibmq_tokyo.arch,4,60,6,3
graycode6_47,ibmq_tokyo.arch,6,60,7,3
graycode6_47,ibmq_tokyo.arch,7,60,5,3
graycode6_47,ibmq_tokyo.arch,8,60,6,3
graycode6_47,ibmq_tokyo.arch,9,60,7,3
graycode6_47,ibmq_tokyo.arch,10,60,5,3
xor5_254,ibmq_tokyo.arch,1,60,10,5
xor5_254,ibmq_tokyo.arch,3,60,9,5
xor5_254,ibmq_tokyo.arch,2,60,10,5
xor5_254,ibmq_tokyo.arch,4,60,10,5
xor5_254,ibmq_tokyo.arch,5,60,10,5
xor5_254,ibmq_tokyo.arch,7,60,9,5
xor5_254,ibmq_tokyo.arch,6,60,10,5
xor5_254,ibmq_tokyo.arch,9,60,9,5
xor5_254,ibmq_tokyo.arch,10,60,10,5
xor5_254,ibmq_tokyo.arch,8,60,10,5
ex1_226,ibmq_tokyo.arch,1,60,10,5
ex1_226,ibmq_tokyo.arch,3,60,9,5
ex1_226,ibmq_tokyo.arch,2,60,10,5
ex1_226,ibmq_tokyo.arch,4,60,10,5
ex1_226,ibmq_tokyo.arch,5,60,10,5
ex1_226,ibmq_tokyo.arch,6,60,10,5
ex1_226,ibmq_tokyo.arch,7,60,9,5
ex1_226,ibmq_tokyo.arch,8,60,10,5
ex1_226,ibmq_tokyo.arch,9,60,9,5
ex1_226,ibmq_tokyo.arch,10,60,10,5
4gt11_84,ibmq_tokyo.arch,2,60,15,4
4gt11_84,ibmq_tokyo.arch,1,60,14,4
4gt11_84,ibmq_tokyo.arch,5,60,13,4
4gt11_84,ibmq_tokyo.arch,6,60,14,4
4gt11_84,ibmq_tokyo.arch,7,60,14,4
4gt11_84,ibmq_tokyo.arch,8,60,14,4
4gt11_84,ibmq_tokyo.arch,9,60,13,4
4gt11_84,ibmq_tokyo.arch,3,60,14,4
4gt11_84,ibmq_tokyo.arch,4,60,13,4
4gt11_84,ibmq_tokyo.arch,10,60,14,4
ex-1_166,ibmq_tokyo.arch,1,60,16,3
ex-1_166,ibmq_tokyo.arch,3,60,15,3
ex-1_166,ibmq_tokyo.arch,5,60,16,3
ex-1_166,ibmq_tokyo.arch,6,60,16,3
ex-1_166,ibmq_tokyo.arch,4,60,16,3
ex-1_166,ibmq_tokyo.arch,7,60,15,3
ex-1_166,ibmq_tokyo.arch,8,60,15,3
ex-1_166,ibmq_tokyo.arch,2,60,15,3
ex-1_166,ibmq_tokyo.arch,9,60,15,3
ex-1_166,ibmq_tokyo.arch,10,60,15,3
4mod5-v0_20,ibmq_tokyo.arch,1,60,13,4
4mod5-v0_20,ibmq_tokyo.arch,2,60,13,4
4mod5-v0_20,ibmq_tokyo.arch,3,60,13,4
4mod5-v0_20,ibmq_tokyo.arch,4,60,13,4
4mod5-v0_20,ibmq_tokyo.arch,5,60,13,4
4mod5-v0_20,ibmq_tokyo.arch,6,60,13,4
4mod5-v0_20,ibmq_tokyo.arch,7,60,13,4
4mod5-v0_20,ibmq_tokyo.arch,8,60,13,4
4mod5-v0_20,ibmq_tokyo.arch,9,60,13,4
4mod5-v0_20,ibmq_tokyo.arch,10,60,13,4
ham3_102,ibmq_tokyo.arch,1,60,16,4
ham3_102,ibmq_tokyo.arch,3,60,17,4
ham3_102,ibmq_tokyo.arch,4,60,16,4
ham3_102,ibmq_tokyo.arch,2,60,17,4
ham3_102,ibmq_tokyo.arch,5,60,17,4
ham3_102,ibmq_tokyo.arch,6,60,17,4
ham3_102,ibmq_tokyo.arch,7,60,17,4
ham3_102,ibmq_tokyo.arch,8,60,17,4
ham3_102,ibmq_tokyo.arch,9,60,16,4
ham3_102,ibmq_tokyo.arch,10,60,17,4
4mod5-v1_22,ibmq_tokyo.arch,3,60,16,5
4mod5-v1_22,ibmq_tokyo.arch,1,60,16,5
4mod5-v1_22,ibmq_tokyo.arch,2,60,17,5
4mod5-v1_22,ibmq_tokyo.arch,4,60,16,5
4mod5-v1_22,ibmq_tokyo.arch,5,60,17,5
4mod5-v1_22,ibmq_tokyo.arch,6,60,15,5
4mod5-v1_22,ibmq_tokyo.arch,7,60,17,5
4mod5-v1_22,ibmq_tokyo.arch,8,60,16,5
4mod5-v1_22,ibmq_tokyo.arch,9,60,16,5
4mod5-v1_22,ibmq_tokyo.arch,10,60,17,5
mod5d1_63,ibmq_tokyo.arch,1,60,17,6
mod5d1_63,ibmq_tokyo.arch,3,60,17,6
mod5d1_63,ibmq_tokyo.arch,5,60,17,6
mod5d1_63,ibmq_tokyo.arch,6,60,17,6
mod5d1_63,ibmq_tokyo.arch,7,60,18,6
mod5d1_63,ibmq_tokyo.arch,8,60,18,6
mod5d1_63,ibmq_tokyo.arch,2,60,17,6
mod5d1_63,ibmq_tokyo.arch,9,60,18,6
mod5d1_63,ibmq_tokyo.arch,4,60,17,6
mod5d1_63,ibmq_tokyo.arch,10,60,17,6
4gt11_83,ibmq_tokyo.arch,3,60,16,5
4gt11_83,ibmq_tokyo.arch,2,60,16,5
4gt11_83,ibmq_tokyo.arch,4,60,16,5
4gt11_83,ibmq_tokyo.arch,1,60,16,5
4gt11_83,ibmq_tokyo.arch,5,60,16,5
4gt11_83,ibmq_tokyo.arch,6,60,16,5
4gt11_83,ibmq_tokyo.arch,7,60,16,5
4gt11_83,ibmq_tokyo.arch,8,60,16,5
4gt11_83,ibmq_tokyo.arch,9,60,16,5
4gt11_83,ibmq_tokyo.arch,10,60,16,5
4gt11_82,ibmq_tokyo.arch,1,60,22,7
4gt11_82,ibmq_tokyo.arch,3,60,22,7
4gt11_82,ibmq_tokyo.arch,4,60,22,7
4gt11_82,ibmq_tokyo.arch,2,60,22,7
4gt11_82,ibmq_tokyo.arch,5,60,22,7
4gt11_82,ibmq_tokyo.arch,6,60,22,7
4gt11_82,ibmq_tokyo.arch,7,60,22,7
4gt11_82,ibmq_tokyo.arch,8,60,22,7
4gt11_82,ibmq_tokyo.arch,9,60,22,7
4gt11_82,ibmq_tokyo.arch,10,60,22,7
rd32-v0_66,ibmq_tokyo.arch,3,60,28,8
rd32-v0_66,ibmq_tokyo.arch,1,60,28,8
rd32-v0_66,ibmq_tokyo.arch,5,60,26,8
rd32-v0_66,ibmq_tokyo.arch,4,60,28,8
rd32-v0_66,ibmq_tokyo.arch,6,60,27,8
rd32-v0_66,ibmq_tokyo.arch,7,60,27,8
rd32-v0_66,ibmq_tokyo.arch,8,60,28,8
rd32-v0_66,ibmq_tokyo.arch,9,60,26,8
rd32-v0_66,ibmq_tokyo.arch,2,60,27,8
rd32-v0_66,ibmq_tokyo.arch,10,60,27,8
mod5mils_65,ibmq_tokyo.arch,1,60,23,6
mod5mils_65,ibmq_tokyo.arch,2,60,23,6
mod5mils_65,ibmq_tokyo.arch,5,60,23,6
mod5mils_65,ibmq_tokyo.arch,3,60,23,6
mod5mils_65,ibmq_tokyo.arch,4,60,23,6
mod5mils_65,ibmq_tokyo.arch,6,60,23,6
mod5mils_65,ibmq_tokyo.arch,7,60,23,6
mod5mils_65,ibmq_tokyo.arch,8,60,23,6
mod5mils_65,ibmq_tokyo.arch,9,60,23,6
mod5mils_65,ibmq_tokyo.arch,10,60,23,6
4mod5-v0_19,ibmq_tokyo.arch,1,60,23,5
4mod5-v0_19,ibmq_tokyo.arch,2,60,23,5
4mod5-v0_19,ibmq_tokyo.arch,4,60,23,5
