,qasm,best_size,size_out,num_swaps,size_diff,size
74,graycode6_47,8.0,8,3,0.0,5
70,ex1_226,12.0,12,5,0.0,7
158,xor5_254,12.0,12,5,0.0,7
6,4gt11_84,22.0,22,4,0.0,18
69,ex-1_166,22.0,22,3,0.0,19
77,ham3_102,24.0,24,4,0.0,20
27,4mod5-v0_20,24.0,24,4,0.0,20
28,4mod5-v1_22,26.0,26,5,0.0,21
100,mod5d1_63,28.0,28,6,0.0,22
5,4gt11_83,28.0,28,5,0.0,23
4,4gt11_82,34.0,34,7,0.0,27
118,rd32-v0_66,42.0,42,8,0.0,34
26,4mod5-v0_19,40.0,40,5,0.0,35
102,mod5mils_65,41.0,41,6,0.0,35
30,4mod5-v1_24,44.0,43,7,-1.0,36
39,alu-v0_27,45.0,44,8,-1.0,36
119,rd32-v1_68,44.0,44,8,0.0,36
1,3_17_13,43.0,43,7,0.0,36
49,alu-v4_37,46.0,45,8,-1.0,37
40,alu-v1_28,44.0,44,7,0.0,37
47,alu-v3_35,43.0,43,6,0.0,37
45,alu-v2_33,46.0,46,9,0.0,37
41,alu-v1_29,45.0,44,7,-1.0,37
92,miller_11,59.0,59,9,0.0,50
64,decod24-v0_38,62.0,62,11,0.0,51
46,alu-v3_34,59.0,59,7,0.0,52
66,decod24-v2_43,63.0,63,11,0.0,52
101,mod5d2_64,64.0,64,11,0.0,53
14,4gt13_92,78.0,77,11,-1.0,66
11,4gt13-v1_93,79.0,79,11,0.0,68
25,4mod5-v0_18,81.0,81,12,0.0,69
29,4mod5-v1_23,81.0,81,12,0.0,69
108,one-two-three-v2_100,82.0,78,9,-4.0,69
109,one-two-three-v3_101,81.0,81,11,0.0,70
24,4mod5-bdd_287,78.0,78,8,0.0,70
113,qe_qft_4,76.0,76,5,0.0,71
62,decod24-bdd_294,83.0,83,10,0.0,73
21,4gt5_75,94.0,94,11,0.0,83
37,alu-bdd_288,94.0,94,10,0.0,84
120,rd32_270,98.0,98,14,0.0,84
38,alu-v0_26,98.0,95,11,-3.0,84
65,decod24-v1_41,97.0,97,12,0.0,85
22,4gt5_76,106.0,103,12,-3.0,91
13,4gt13_91,116.0,116,13,0.0,103
114,qe_qft_5,109.0,109,2,0.0,107
12,4gt13_90,123.0,123,16,0.0,107
48,alu-v4_36,129.0,129,14,0.0,115
23,4gt5_77,147.0,148,17,1.0,131
125,rd53_138,147.0,144,12,-3.0,132
107,one-two-three-v1_99,154.0,154,22,0.0,132
106,one-two-three-v0_98,165.0,168,22,3.0,146
3,4gt10-v1_81,171.0,169,21,-2.0,148
67,decod24-v3_45,170.0,173,23,3.0,150
36,aj-e11_165,174.0,174,23,0.0,151
31,4mod7-v0_94,181.0,184,22,3.0,162
44,alu-v2_32,186.0,188,25,2.0,163
32,4mod7-v1_96,185.0,185,21,0.0,164
94,mini_alu_305,190.0,192,19,2.0,173
55,cnt3-5_179,201.0,202,27,1.0,175
98,mod10_176,205.0,202,24,-3.0,178
19,4gt4-v0_80,199.0,198,19,-1.0,179
9,4gt12-v0_88,217.0,215,21,-2.0,194
115,qft_10,225.0,226,26,1.0,200
0,0410184_169,237.0,243,32,6.0,211
146,sys6-v0_111,236.0,237,22,1.0,215
2,4_49_16,251.0,248,31,-3.0,217
10,4gt12-v1_89,252.0,246,18,-6.0,228
