instance_name,timeout,gate_out,depth_out,num_swaps,beta,gamma,delta,seed
0410184_169,10,243,123,32,"1,92505","4,43324","0,1",3
3_17_13,10,43,28,7,"2,76107","1,04258","0,1",3
4_49_16,10,248,154,31,"0,308581","6,63074","0,1",3
4gt10-v1_81,10,169,99,21,"4,19307","5,08906","0,1",3
4gt11_82,10,34,22,7,"3,78618","2,5498","0,1",3
4gt11_83,10,28,16,5,"2,90094","2,15997","0,1",3
4gt11_84,10,22,15,4,"3,30095","2,92186","0,0611504",3
4gt12-v0_86,10,276,155,25,"2,16491","7,00193","0,1",3
4gt12-v0_87,10,269,148,22,"3,72004","4,7033","0,1",3
4gt12-v0_88,10,215,125,21,"0,912911","0,058461","0,1",3
4gt12-v1_89,10,246,142,18,"8,99446","0,352454","0,1",3
4gt13_90,10,123,78,16,"3,82842","3,23693","0,1",3
4gt13_91,10,116,73,13,"0,0126389","0,860284","0,0160802",3
4gt13_92,10,77,46,11,"1,88391","5,55243","0,1",3
4gt13-v1_93,10,79,47,11,"3,06062","3,47447","0,1",3
4gt4-v0_72,10,281,159,23,"6,21816","1,68902","0,1",3
4gt4-v0_73,10,443,268,48,"0,357237","3,50485","0,1",3
4gt4-v0_78,10,262,160,27,"8,12395","5,03451","0,1",3
4gt4-v0_79,10,256,152,25,"2,3181","4,6793","0,1",3
4gt4-v0_80,10,198,122,19,"0,214279","8,18726","0,013672",3
4gt4-v1_74,10,299,179,26,"0,53369","0,0433769","0,1",3
4gt5_75,10,94,56,11,"0,553068","1,96484","0,1",3
4gt5_76,10,103,68,12,"0,51","1,46289","0,1",3
4gt5_77,10,148,86,17,"0,118331","4,63187","0,0916599",3
4mod5-bdd_287,10,78,46,8,"1,82416","4,15757","0,1",3
4mod5-v0_18,10,81,47,12,"4,10927","5,15035","0,1",3
4mod5-v0_19,10,40,24,5,"0,812167","1,21905","0,1",3
4mod5-v0_20,10,24,13,4,"10,5414","5,62397","0,1",3
4mod5-v1_22,10,26,17,5,"1,4748","3,13645","0,1",3
4mod5-v1_23,10,81,48,12,"0,0806509","2,46515","0,0806509",3
4mod5-v1_24,10,43,28,7,"2,685","0,317054","0,1",3
4mod7-v0_94,10,184,110,22,"0,394466","0,0803925","0,1",3
4mod7-v1_96,10,185,104,21,"1,04347","1,40306","0,1",3
9symml_195,10,42165,25908,7284,"6,01485","0,188724","0,1",3
adr4_197,10,4076,2431,637,"0,531038","1,97018","0,1",3
aj-e11_165,10,174,108,23,"3,62188","1,10646","0,1",3
alu-bdd_288,10,94,53,10,"3,78458","2,8496","0,1",3
alu-v0_26,10,95,55,11,"1,77999","0,656565","0,1",3
alu-v0_27,10,44,26,8,"3,77537","6,97826","0,1",3
alu-v1_28,10,44,27,7,"5,67209","4,20224","0,1",3
alu-v1_29,10,44,26,7,"2,67846","2,35121","0,1",3
alu-v2_30,10,558,323,54,"4,53881","0,932553","0,1",3
alu-v2_31,10,533,347,82,"0,0639656","3,41957","0,0639656",3
alu-v2_32,10,188,109,25,"1,42185","2,93505","0,1",3
alu-v2_33,10,46,31,9,"1,08115","0,874676","0,1",3
alu-v3_34,10,59,33,7,"0,0216118","0,00138125","0,0216118",3
alu-v3_35,10,43,24,6,"2,86861","1,25736","0,1",3
alu-v4_36,10,129,79,14,"6,28545","0,485841","0,1",3
alu-v4_37,10,45,26,8,"1,30127","2,01085","0,1",3
C17_204,10,506,284,39,"3,9033","8,07656","0,1",3
clip_206,10,41481,25460,7654,"0,696231","0,524876","0,1",3
cm152a_212,10,1404,839,183,"1,40683","7,89829","0,1",3
cm42a_207,10,2042,1193,266,"0,444325","5,36146","0,1",3
cm82a_208,10,725,411,75,"1,8804","1,03951","0,1",3
cm85a_209,10,13896,8659,2482,"1,04848","1,67437","0,1",3
cnt3-5_179,10,202,88,27,"1,18752","0,477728","0,0609961",3
cnt3-5_180,10,558,271,73,"1,52688","2,08724","0,1",3
co14_215,10,22377,12979,4441,"0,0473379","6,20074","0,0713671",3
con1_216,10,1093,612,139,"1,71925","4,28833","0,1",3
cycle10_2_110,10,7296,4739,1246,"0,202553","2,05235","0,0421494",3
dc1_220,10,2192,1280,278,"7,61476","0,169797","0,1",3
dc2_222,10,11319,6744,1857,"2,10154","2,98114","0,1",3
decod24-bdd_294,10,83,48,10,"2,21489","6,25254","0,1",3
decod24-enable_126,10,379,223,41,"4,97439","1,23893","0,1",3
decod24-v0_38,10,62,40,11,"2,3895","4,83042","0,1",3
decod24-v1_41,10,97,59,12,"1,05669","3,46399","0,1",3
decod24-v2_43,10,63,42,11,"1,60708","1,78454","0,1",3
decod24-v3_45,10,173,96,23,"11,6889","1,19383","0,1",3
dist_223,10,46569,27082,8523,"1,11876","2,53861","0,1",3
ex-1_166,10,22,16,3,"1,70276","1,03384","0,1",3
ex1_226,10,12,9,5,"2,41321","1,10916","0,1",3
ex2_227,10,711,431,80,"3,55519","0,588795","0,1",3
ex3_229,10,438,267,35,"0,445594","0,48037","0,1",3
f2_232,10,1375,850,169,"0,431891","1,28731","0,1",3
graycode6_47,10,8,7,3,"3,46587","3,8444","0,741683",3
ground_state_estimation_10,10,404738,254989,14558,"1,04504","3,37057","0,1",3
ham15_107,10,10409,6265,1646,"1,22106","2,2117","0,1",3
ham3_102,10,24,17,4,"5,56758","1,3624","0,1",3
ham7_104,10,357,213,37,"3,77052","6,60642","0,1",3
hwb4_49,10,274,172,41,"3,77855","1,96973","0,1",3
hwb5_53,10,1542,961,206,"1,55181","2,11923","0,1",3
hwb6_56,10,8036,5208,1313,"0,694099","0,0536574","0,1",3
hwb7_59,10,29611,18954,5232,"0,48164","0,763787","0,1",3
hwb8_113,10,85275,52969,15895,"4,28172","0,436748","0,1",3
