instance_name,routing_method,g_in,d_in,timeout,best_size,best_depth,avg_size,avg_depth,ideal_cost,n_tries,improvements_count
xor5_254,basic,7,5,10,13,8,12.034090909090908,9.632575757575758,48,264,2
xor5_254,basic,7,5,20,13,8,12.024667931688805,9.67741935483871,48,527,2
xor5_254,basic,7,5,30,13,7,12.034293552812072,9.650205761316872,48,729,4
xor5_254,basic,7,5,60,13,7,12.037974683544304,9.655414908579466,48,1422,4
xor5_254,lookahead,7,5,10,13,7,13.0,8.599221789883268,48,257,1
xor5_254,lookahead,7,5,20,13,7,13.0,8.701171875,48,512,3
xor5_254,lookahead,7,5,30,13,7,13.0,8.65751633986928,48,765,3
xor5_254,lookahead,7,5,60,13,7,13.0,8.669711876317638,48,1423,3
xor5_254,decay,7,5,10,13,7,13.0,8.713725490196078,48,255,2
xor5_254,decay,7,5,20,13,7,13.0,8.668627450980392,48,510,2
xor5_254,decay,7,5,30,13,7,13.0,8.630749014454665,48,761,3
xor5_254,decay,7,5,60,13,7,13.0,8.613475177304965,48,1410,3
graycode6_47,basic,5,5,10,8,5,8.0,6.6,28,255,3
graycode6_47,basic,5,5,20,8,5,8.0,6.502923976608187,28,513,3
graycode6_47,basic,5,5,30,8,5,8.0,6.508452535760728,28,769,1
graycode6_47,basic,5,5,60,8,5,8.0,6.5530253741054,28,1537,2
graycode6_47,lookahead,5,5,10,8,5,8.0,6.462745098039216,28,255,3
graycode6_47,lookahead,5,5,20,8,5,8.0,6.566990291262136,28,515,3
graycode6_47,lookahead,5,5,30,8,5,8.0,6.486345903771132,28,769,2
graycode6_47,lookahead,5,5,60,8,5,8.0,6.554190751445087,28,1384,3
graycode6_47,decay,5,5,10,8,6,8.0,6.425287356321839,28,261,1
graycode6_47,decay,5,5,20,8,6,8.0,6.484555984555985,28,518,1
graycode6_47,decay,5,5,30,8,6,8.0,6.513725490196078,28,765,2
graycode6_47,decay,5,5,60,8,6,8.0,6.513951979234263,28,1541,1
