instance_name,qubits,size,depth
graycode6_47,6,5,5
ex1_226,6,7,5
xor5_254,6,7,5
4gt11_84,5,18,11
ex-1_166,3,19,12
4mod5-v0_20,5,20,12
ham3_102,3,20,13
4mod5-v1_22,5,21,12
mod5d1_63,5,22,13
4gt11_83,5,23,16
4gt11_82,5,27,20
rd32-v0_66,4,34,20
4mod5-v0_19,5,35,21
mod5mils_65,5,35,21
3_17_13,3,36,22
4mod5-v1_24,5,36,21
alu-v0_27,5,36,21
rd32-v1_68,4,36,21
alu-v1_28,5,37,22
alu-v1_29,5,37,22
alu-v2_33,5,37,22
alu-v3_35,5,37,22
alu-v4_37,5,37,22
miller_11,3,50,29
decod24-v0_38,4,51,30
alu-v3_34,5,52,30
decod24-v2_43,4,52,30
mod5d2_64,5,53,32
4gt13_92,5,66,38
4gt13-v1_93,5,68,39
4mod5-v0_18,5,69,40
4mod5-v1_23,5,69,41
one-two-three-v2_100,5,69,40
4mod5-bdd_287,7,70,41
one-two-three-v3_101,5,70,40
qe_qft_4,5,71,36
decod24-bdd_294,6,73,40
4gt5_75,5,83,47
alu-bdd_288,7,84,48
alu-v0_26,5,84,49
rd32_270,5,84,47
decod24-v1_41,5,85,50
4gt5_76,5,91,56
4gt13_91,5,103,61
4gt13_90,5,107,65
qe_qft_5,5,107,51
alu-v4_36,5,115,66
4gt5_77,5,131,74
one-two-three-v1_99,5,132,76
rd53_138,8,132,56
one-two-three-v0_98,5,146,82
4gt10-v1_81,5,148,84
decod24-v3_45,5,150,84
aj-e11_165,5,151,86
4mod7-v0_94,5,162,92
alu-v2_32,5,163,92
4mod7-v1_96,5,164,94
mini_alu_305,10,173,69
cnt3-5_179,16,175,61
mod10_176,5,178,101
4gt4-v0_80,6,179,101
4gt12-v0_88,6,194,108
qft_10,10,200,63
0410184_169,14,211,104
sys6-v0_111,10,215,75
4_49_16,5,217,125
4gt12-v1_89,6,228,130
rd73_140,10,230,92
4gt4-v0_79,6,231,132
hwb4_49,5,233,134
4gt4-v0_78,6,235,137
mod10_171,5,244,139
4gt12-v0_87,6,247,131
4gt12-v0_86,6,251,135
4gt4-v0_72,6,258,137
sym6_316,14,270,135
4gt4-v1_74,6,273,154
rd53_311,13,275,124
mini-alu_167,5,288,162
one-two-three-v0_97,5,290,163
rd53_135,7,296,159
ham7_104,7,320,185
sym9_146,12,328,127
decod24-enable_126,6,338,190
mod8-10_178,6,342,193
rd84_142,15,343,110
4gt4-v0_73,6,395,227
ex3_229,6,403,226
mod8-10_177,6,440,251
alu-v2_31,5,451,255
C17_204,7,467,253
rd53_131,7,469,261
ising_model_10,10,480,70
cnt3-5_180,16,485,209
alu-v2_30,6,504,285
qft_16,16,512,105
mod5adder_127,6,555,302
rd53_133,7,580,327
majority_239,7,612,344
ex2_227,7,631,355
ising_model_13,13,633,71
cm82a_208,8,650,337
sf_276,6,778,435
sf_274,6,781,436
ising_model_16,16,786,71
con1_216,9,954,508
wim_266,11,986,514
rd53_130,7,1043,569
f2_232,8,1206,668
cm152a_212,12,1221,684
rd53_251,8,1291,712
hwb5_53,6,1336,758
cm42a_207,14,1776,940
pm1_249,14,1776,940
dc1_220,11,1914,1038
squar5_261,13,1993,1049
sqrt8_260,12,3009,1659
z4_268,11,3073,1644
radd_250,13,3213,1781
adr4_197,13,3439,1839
sym6_145,7,3888,2187
misex1_241,15,4813,2676
rd73_252,10,5321,2867
cycle10_2_110,12,6050,3386
hwb6_56,7,6723,3736
square_root_7,15,7630,3847
ham15_107,15,8763,4819
dc2_222,15,9462,5242
sqn_258,10,10223,5458
inc_237,16,10619,5863
cm85a_209,14,11414,6374
rd84_253,12,13658,7261
root_255,13,17159,8835
co14_215,15,17936,8570
mlp4_245,16,18852,10328
urf2_277,8,20112,11390
sym9_148,10,21504,12087
life_238,11,22445,12511
hwb7_59,8,24379,13437
max46_240,10,27126,14257
clip_206,14,33827,17879
9symml_195,11,34881,19235
sym9_193,11,34881,19235
dist_223,13,38046,19694
sao2_257,14,38577,19563
urf5_280,9,49829,27822
urf1_278,9,54766,30955
sym10_262,12,64283,35572
hwb8_113,9,69380,38717
urf2_152,8,80480,44100
urf3_279,10,125362,70702
plus63mod4096_163,13,128744,72246
urf5_158,9,164416,89145
urf6_160,15,171840,93645
urf1_149,9,184864,99585
plus63mod8192_164,14,187112,105142
hwb9_119,10,207775,116199
ground_state_estimation_10,13,390180,245614
urf3_155,10,423488,229365
urf4_187,11,512064,264330
